"","Kod","Nazwa","rok","Liczba_lokali_mieszkalnych_sprzedanych_w_ramach_transakcji_rynkowych_ogolem_od_80_m2_szt"
"7732",1217000,"Powiat tatrzański",2015,0
"7733",1218000,"Powiat wadowicki",2015,14
"7734",1219000,"Powiat wielicki",2015,15
"7735",1261000,"Powiat m.Kraków",2015,725
"7736",1262000,"Powiat m.Nowy Sącz",2015,15
"7737",1263000,"Powiat m.Tarnów",2015,17
"7738",1401000,"Powiat białobrzeski",2015,0
"7739",1402000,"Powiat ciechanowski",2015,11
"7740",1403000,"Powiat garwoliński",2015,0
"7741",1404000,"Powiat gostyniński",2015,0
"7742",1405000,"Powiat grodziski",2015,32
"7743",1406000,"Powiat grójecki",2015,0
"7744",1407000,"Powiat kozienicki",2015,0
"7745",1408000,"Powiat legionowski",2015,13
"7746",1409000,"Powiat lipski",2015,0
"7747",1410000,"Powiat łosicki",2015,0
"7748",1411000,"Powiat makowski",2015,0
"7749",1412000,"Powiat miński",2015,24
"7750",1413000,"Powiat mławski",2015,8
"7751",1414000,"Powiat nowodworski",2015,29
"7752",1415000,"Powiat ostrołęcki",2015,0
"7753",1416000,"Powiat ostrowski",2015,0
"7754",1417000,"Powiat otwocki",2015,13
"7755",1418000,"Powiat piaseczyński",2015,153
"7756",1419000,"Powiat płocki",2015,0
"7757",1420000,"Powiat płoński",2015,9
"7758",1421000,"Powiat pruszkowski",2015,103
"7759",1422000,"Powiat przasnyski",2015,0
"7760",1423000,"Powiat przysuski",2015,0
"7761",1424000,"Powiat pułtuski",2015,0
"7762",1425000,"Powiat radomski",2015,0
"7763",1426000,"Powiat siedlecki",2015,0
"7764",1427000,"Powiat sierpecki",2015,3
"7765",1428000,"Powiat sochaczewski",2015,5
"7766",1429000,"Powiat sokołowski",2015,0
"7767",1430000,"Powiat szydłowiecki",2015,0
"7768",1432000,"Powiat warszawski zachodni",2015,111
"7769",1433000,"Powiat węgrowski",2015,0
"7770",1434000,"Powiat wołomiński",2015,242
"7771",1435000,"Powiat wyszkowski",2015,0
"7772",1436000,"Powiat zwoleński",2015,0
"7773",1437000,"Powiat żuromiński",2015,0
"7774",1438000,"Powiat żyrardowski",2015,4
"7775",1461000,"Powiat m.Ostrołęka",2015,0
"7776",1462000,"Powiat m.Płock",2015,23
"7777",1463000,"Powiat m.Radom",2015,24
"7778",1464000,"Powiat m.Siedlce",2015,12
"7779",1465000,"Powiat m. st. Warszawa",2015,2728
"7780",1601000,"Powiat brzeski",2015,27
"7781",1602000,"Powiat głubczycki",2015,6
"7782",1603000,"Powiat kędzierzyńsko-kozielski",2015,15
"7783",1604000,"Powiat kluczborski",2015,14
"7784",1605000,"Powiat krapkowicki",2015,11
"7785",1606000,"Powiat namysłowski",2015,7
"7786",1607000,"Powiat nyski",2015,19
"7787",1608000,"Powiat oleski",2015,0
"7788",1609000,"Powiat opolski",2015,9
"7789",1610000,"Powiat prudnicki",2015,3
"7790",1611000,"Powiat strzelecki",2015,9
"7791",1661000,"Powiat m.Opole",2015,73
"7792",1801000,"Powiat bieszczadzki",2015,0
"7793",1802000,"Powiat brzozowski",2015,0
"7794",1803000,"Powiat dębicki",2015,4
"7795",1804000,"Powiat jarosławski",2015,24
"7796",1805000,"Powiat jasielski",2015,5
"7797",1806000,"Powiat kolbuszowski",2015,0
"7798",1807000,"Powiat krośnieński",2015,3
"7799",1808000,"Powiat leżajski",2015,0
"7800",1809000,"Powiat lubaczowski",2015,0
"7801",1810000,"Powiat łańcucki",2015,3
"7802",1811000,"Powiat mielecki",2015,7
"7803",1812000,"Powiat niżański",2015,0
"7804",1813000,"Powiat przemyski",2015,0
"7805",1814000,"Powiat przeworski",2015,0
"7806",1815000,"Powiat ropczycko-sędziszowski",2015,0
"7807",1816000,"Powiat rzeszowski",2015,5
"7808",1817000,"Powiat sanocki",2015,3
"7809",1818000,"Powiat stalowowolski",2015,3
"7810",1819000,"Powiat strzyżowski",2015,4
"7811",1820000,"Powiat tarnobrzeski",2015,3
"7812",1821000,"Powiat leski",2015,3
