"","Kod","Nazwa","rok","Budownictwo_mieszkaniowe_wskazniki_mieszkania_na_10_tys_ludnosci"
"128",1212000,"Powiat olkuski",2002,14.4
"129",1213000,"Powiat oświęcimski",2002,17.5
"130",1214000,"Powiat proszowicki",2002,7.3
"131",1215000,"Powiat suski",2002,35.9
"132",1216000,"Powiat tarnowski",2002,27.3
"133",1217000,"Powiat tatrzański",2002,30.5
"134",1218000,"Powiat wadowicki",2002,38.4
"135",1219000,"Powiat wielicki",2002,49.4
"136",1261000,"Powiat m.Kraków",2002,45.9
"137",1262000,"Powiat m.Nowy Sącz",2002,39.5
"138",1263000,"Powiat m.Tarnów",2002,22.4
"139",1401000,"Powiat białobrzeski",2002,17.2
"140",1402000,"Powiat ciechanowski",2002,21.5
"141",1403000,"Powiat garwoliński",2002,16.5
"142",1404000,"Powiat gostyniński",2002,10.7
"143",1405000,"Powiat grodziski",2002,56.9
"144",1406000,"Powiat grójecki",2002,21.6
"145",1407000,"Powiat kozienicki",2002,13.4
"146",1408000,"Powiat legionowski",2002,87.2
"147",1409000,"Powiat lipski",2002,4.9
"148",1410000,"Powiat łosicki",2002,16.4
"149",1411000,"Powiat makowski",2002,11.6
"150",1412000,"Powiat miński",2002,35.7
"151",1413000,"Powiat mławski",2002,13.8
"152",1414000,"Powiat nowodworski",2002,21.9
"153",1415000,"Powiat ostrołęcki",2002,22.2
"154",1416000,"Powiat ostrowski",2002,5.9
"155",1417000,"Powiat otwocki",2002,49.1
"156",1418000,"Powiat piaseczyński",2002,29.7
"157",1419000,"Powiat płocki",2002,16.9
"158",1420000,"Powiat płoński",2002,18.4
"159",1421000,"Powiat pruszkowski",2002,52.2
"160",1422000,"Powiat przasnyski",2002,11.8
"161",1423000,"Powiat przysuski",2002,6.7
"162",1424000,"Powiat pułtuski",2002,9.4
"163",1425000,"Powiat radomski",2002,11.5
"164",1426000,"Powiat siedlecki",2002,1.7
"165",1427000,"Powiat sierpecki",2002,10.1
"166",1428000,"Powiat sochaczewski",2002,31.5
"167",1429000,"Powiat sokołowski",2002,14.7
"168",1430000,"Powiat szydłowiecki",2002,8.3
"169",1432000,"Powiat warszawski zachodni",2002,64.8
"170",1433000,"Powiat węgrowski",2002,8.8
"171",1434000,"Powiat wołomiński",2002,59.3
"172",1435000,"Powiat wyszkowski",2002,20.5
"173",1436000,"Powiat zwoleński",2002,8.8
"174",1437000,"Powiat żuromiński",2002,8.8
"175",1438000,"Powiat żyrardowski",2002,18.7
"176",1461000,"Powiat m.Ostrołęka",2002,18.8
"177",1462000,"Powiat m.Płock",2002,45.2
"178",1463000,"Powiat m.Radom",2002,6.6
"179",1464000,"Powiat m.Siedlce",2002,44.2
"180",1465000,"Powiat m. st. Warszawa",2002,77.4
"181",1601000,"Powiat brzeski",2002,8.2
"182",1602000,"Powiat głubczycki",2002,5.8
"183",1603000,"Powiat kędzierzyńsko-kozielski",2002,6.9
"184",1604000,"Powiat kluczborski",2002,5.3
"185",1605000,"Powiat krapkowicki",2002,8.9
"186",1606000,"Powiat namysłowski",2002,8.5
"187",1607000,"Powiat nyski",2002,28.4
"188",1608000,"Powiat oleski",2002,6.1
"189",1609000,"Powiat opolski",2002,6.8
"190",1610000,"Powiat prudnicki",2002,6.3
"191",1611000,"Powiat strzelecki",2002,7.2
"192",1661000,"Powiat m.Opole",2002,21.4
"193",1801000,"Powiat bieszczadzki",2002,5.8
"194",1802000,"Powiat brzozowski",2002,9.9
"195",1803000,"Powiat dębicki",2002,17.3
"196",1804000,"Powiat jarosławski",2002,20.6
"197",1805000,"Powiat jasielski",2002,22.2
"198",1806000,"Powiat kolbuszowski",2002,12.6
"199",1807000,"Powiat krośnieński",2002,13.5
"200",1808000,"Powiat leżajski",2002,17.6
"201",1809000,"Powiat lubaczowski",2002,24.8
"202",1810000,"Powiat łańcucki",2002,11.1
"203",1811000,"Powiat mielecki",2002,21.4
"204",1812000,"Powiat niżański",2002,17.1
"205",1813000,"Powiat przemyski",2002,13.8
"206",1814000,"Powiat przeworski",2002,12.8
"207",1815000,"Powiat ropczycko-sędziszowski",2002,9.7
"208",1816000,"Powiat rzeszowski",2002,31.9
"209",1817000,"Powiat sanocki",2002,8.6
"210",1818000,"Powiat stalowowolski",2002,15.1
"211",1819000,"Powiat strzyżowski",2002,39.9
"212",1820000,"Powiat tarnobrzeski",2002,10.4
"213",1821000,"Powiat leski",2002,7.2
"214",1861000,"Powiat m.Krosno",2002,25.6
"215",1862000,"Powiat m.Przemyśl",2002,17.9
"216",1863000,"Powiat m.Rzeszów",2002,31.5
"217",1864000,"Powiat m.Tarnobrzeg",2002,24.9
"218",2001000,"Powiat augustowski",2002,28.7
"219",2002000,"Powiat białostocki",2002,29.5
"220",2003000,"Powiat bielski",2002,4.4
"221",2004000,"Powiat grajewski",2002,7.8
"222",2005000,"Powiat hajnowski",2002,18.3
"223",2006000,"Powiat kolneński",2002,22.3
"224",2007000,"Powiat łomżyński",2002,12
"225",2008000,"Powiat moniecki",2002,7.9
"226",2009000,"Powiat sejneński",2002,9.2
"227",2010000,"Powiat siemiatycki",2002,9.1
"228",2011000,"Powiat sokólski",2002,11.3
"229",2012000,"Powiat suwalski",2002,9.9
"230",2013000,"Powiat wysokomazowiecki",2002,6.3
"231",2014000,"Powiat zambrowski",2002,0.9
"232",2061000,"Powiat m.Białystok",2002,42.9
"233",2062000,"Powiat m.Łomża",2002,12.8
"234",2063000,"Powiat m.Suwałki",2002,18.7
"235",2201000,"Powiat bytowski",2002,16.5
