"","Kod","Nazwa","rok","Wydatki_powiatow_ogolem_ogolem_zl"
"102",1204000,"Powiat dąbrowski",1999,9.56824970253456e-317
"103",1205000,"Powiat gorlicki",1999,2.36760284122139e-316
"104",1206000,"Powiat krakowski",1999,2.96411952039434e-316
"105",1207000,"Powiat limanowski",1999,2.02618272918796e-316
"106",1208000,"Powiat miechowski",1999,1.28869474394621e-316
"107",1209000,"Powiat myślenicki",1999,1.63814421322959e-316
"108",1210000,"Powiat nowosądecki",1999,1.98377371515902e-316
"109",1211000,"Powiat nowotarski",1999,2.85762100247878e-316
"110",1212000,"Powiat olkuski",1999,2.18830760410315e-316
"111",1213000,"Powiat oświęcimski",1999,2.79377200974855e-316
"112",1214000,"Powiat proszowicki",1999,8.22294106317583e-317
"113",1215000,"Powiat suski",1999,1.4471692148371e-316
"114",1216000,"Powiat tarnowski",1999,1.67005082441832e-316
"115",1217000,"Powiat tatrzański",1999,1.25912990510563e-316
"116",1218000,"Powiat wadowicki",1999,2.54270049661256e-316
"117",1219000,"Powiat wielicki",1999,9.62430342631784e-317
"118",1401000,"Powiat białobrzeski",1999,5.83008677382832e-317
"119",1402000,"Powiat ciechanowski",1999,2.46735943814694e-316
"120",1403000,"Powiat garwoliński",1999,2.15688749935588e-316
"121",1404000,"Powiat gostyniński",1999,1.07507098584332e-316
"122",1405000,"Powiat grodziski",1999,1.61824092690657e-316
"123",1406000,"Powiat grójecki",1999,1.77692374528031e-316
"124",1407000,"Powiat kozienicki",1999,9.58507411997239e-317
"125",1408000,"Powiat legionowski",1999,1.26041724255244e-316
"126",1409000,"Powiat lipski",1999,8.80396127455384e-317
"127",1410000,"Powiat łosicki",1999,6.89369005137258e-317
"128",1411000,"Powiat makowski",1999,9.46415550567792e-317
"129",1412000,"Powiat miński",1999,2.60835134675317e-316
"130",1413000,"Powiat mławski",1999,1.36332217399298e-316
"131",1414000,"Powiat nowodworski",1999,1.26758544338169e-316
"132",1415000,"Powiat ostrołęcki",1999,7.54874501164861e-317
"133",1416000,"Powiat ostrowski",1999,1.20232208892711e-316
"134",1417000,"Powiat otwocki",1999,2.55675330459035e-316
"135",1418000,"Powiat piaseczyński",1999,2.94730789925674e-316
"136",1419000,"Powiat płocki",1999,1.56684994765592e-316
"137",1420000,"Powiat płoński",1999,1.55767040558245e-316
"138",1421000,"Powiat pruszkowski",1999,2.18373305028831e-316
"139",1422000,"Powiat przasnyski",1999,1.78002627990993e-316
"140",1423000,"Powiat przysuski",1999,1.04600451101971e-316
"141",1424000,"Powiat pułtuski",1999,1.17520183749559e-316
"142",1425000,"Powiat radomski",1999,1.41378001145832e-316
"143",1426000,"Powiat siedlecki",1999,5.09263450953275e-317
"144",1427000,"Powiat sierpecki",1999,1.0544132612791e-316
"145",1428000,"Powiat sochaczewski",1999,1.48098454983541e-316
"146",1429000,"Powiat sokołowski",1999,1.19236449227457e-316
"147",1430000,"Powiat szydłowiecki",1999,6.69281481734903e-317
"148",1431000,"Powiat warszawski",1999,2.3752242682302e-315
"149",1432000,"Powiat warszawski zachodni",1999,1.41242409769988e-316
"150",1433000,"Powiat węgrowski",1999,1.14792679529723e-316
"151",1434000,"Powiat wołomiński",1999,2.26687095871095e-316
"152",1435000,"Powiat wyszkowski",1999,1.45786306811507e-316
"153",1436000,"Powiat zwoleński",1999,6.38137856123042e-317
"154",1437000,"Powiat żuromiński",1999,7.69325279020378e-317
"155",1438000,"Powiat żyrardowski",1999,1.51585911217184e-316
"156",1601000,"Powiat brzeski",1999,2.04142519783438e-316
"157",1602000,"Powiat głubczycki",1999,1.31478891984444e-316
"158",1603000,"Powiat kędzierzyńsko-kozielski",1999,2.2731835860613e-316
"159",1604000,"Powiat kluczborski",1999,1.59064306221521e-316
"160",1605000,"Powiat krapkowicki",1999,7.74581791646177e-317
"161",1606000,"Powiat namysłowski",1999,9.44330939388294e-317
"162",1607000,"Powiat nyski",1999,2.87506394069864e-316
"163",1608000,"Powiat oleski",1999,1.29058128420829e-316
"164",1609000,"Powiat opolski",1999,1.41052258724873e-316
"165",1610000,"Powiat prudnicki",1999,1.29963157870881e-316
"166",1611000,"Powiat strzelecki",1999,1.52862314991246e-316
"167",1801000,"Powiat bieszczadzki",1999,1.29841345985899e-316
"168",1802000,"Powiat brzozowski",1999,1.0053895975705e-316
"169",1803000,"Powiat dębicki",1999,2.18883867526587e-316
"170",1804000,"Powiat jarosławski",1999,2.54438679206838e-316
"171",1805000,"Powiat jasielski",1999,2.23821865911824e-316
"172",1806000,"Powiat kolbuszowski",1999,7.69324537921909e-317
"173",1807000,"Powiat krośnieński",1999,1.15387890294581e-316
"174",1808000,"Powiat leżajski",1999,1.30775189344416e-316
"175",1809000,"Powiat lubaczowski",1999,1.75783591430575e-316
"176",1810000,"Powiat łańcucki",1999,1.36898871169826e-316
"177",1811000,"Powiat mielecki",1999,2.93305711917466e-316
"178",1812000,"Powiat niżański",1999,9.65193058910199e-317
"179",1813000,"Powiat przemyski",1999,5.7365616292675e-317
"180",1814000,"Powiat przeworski",1999,1.20016489950424e-316
"181",1815000,"Powiat ropczycko-sędziszowski",1999,1.18374887672926e-316
"182",1816000,"Powiat rzeszowski",1999,1.43484267222587e-316
"183",1817000,"Powiat sanocki",1999,1.90703079482988e-316
"184",1818000,"Powiat stalowowolski",1999,1.86568026704059e-316
"185",1819000,"Powiat strzyżowski",1999,1.06317269933391e-316
"186",1820000,"Powiat tarnobrzeski",1999,7.44538203194781e-317
"187",1821000,"Powiat leski",1999,0
"188",2001000,"Powiat augustowski",1999,1.18728238482175e-316
"189",2002000,"Powiat białostocki",1999,1.78418379291312e-316
"190",2003000,"Powiat bielski",1999,1.34030904086877e-316
"191",2004000,"Powiat grajewski",1999,9.74650414096327e-317
"192",2005000,"Powiat hajnowski",1999,1.1136508428973e-316
"193",2006000,"Powiat kolneński",1999,6.12502716616358e-317
"194",2007000,"Powiat łomżyński",1999,4.64246363193063e-317
"195",2008000,"Powiat moniecki",1999,6.89700473779053e-317
"196",2009000,"Powiat sejneński",1999,5.01541204908777e-317
"197",2010000,"Powiat siemiatycki",1999,9.6111854893551e-317
"198",2011000,"Powiat sokólski",1999,1.30498645980469e-316
"199",2012000,"Powiat suwalski",1999,3.88179522293699e-317
"200",2013000,"Powiat wysokomazowiecki",1999,1.0241340529212e-316
"201",2014000,"Powiat zambrowski",1999,8.50242955243741e-317
"202",2201000,"Powiat bytowski",1999,1.55221438924886e-316
"203",2202000,"Powiat chojnicki",1999,2.8594526520476e-316
"204",2203000,"Powiat człuchowski",1999,1.36276536201011e-316
"205",2204000,"Powiat gdański",1999,8.59321609112332e-317
"206",2205000,"Powiat kartuski",1999,1.46159771033199e-316
"207",2206000,"Powiat kościerski",1999,1.78515878205863e-316
"208",2207000,"Powiat kwidzyński",1999,2.0060662041322e-316
"209",2208000,"Powiat lęborski",1999,1.67455403515391e-316
"210",2209000,"Powiat malborski",1999,2.35510372148007e-316
"211",2210000,"Powiat nowodworski",1999,8.57635165436818e-317
"212",2211000,"Powiat pucki",1999,1.42851206088602e-316
"213",2212000,"Powiat słupski",1999,1.42003458609529e-316
"214",2213000,"Powiat starogardzki",1999,2.21946259322487e-316
"215",2214000,"Powiat tczewski",1999,2.50818852905361e-316
"216",2215000,"Powiat wejherowski",1999,2.62993430805236e-316
"217",2216000,"Powiat sztumski",1999,0
"218",2401000,"Powiat będziński",1999,2.25761048868469e-316
"219",2402000,"Powiat bielski",1999,1.70751972546107e-316
"220",2403000,"Powiat cieszyński",1999,3.44590961119902e-316
"221",2404000,"Powiat częstochowski",1999,1.03478823272782e-316
"222",2405000,"Powiat gliwicki",1999,1.06122682178777e-316
"223",2406000,"Powiat kłobucki",1999,1.04970432160859e-316
"224",2407000,"Powiat lubliniecki",1999,1.8275702664158e-316
"225",2408000,"Powiat mikołowski",1999,1.42877554609494e-316
"226",2409000,"Powiat myszkowski",1999,1.10078512644677e-316
