"","Kod","Nazwa","rok","Liczba_lokali_mieszkalnych_sprzedanych_w_ramach_transakcji_rynkowych_ogolem_od_60_do_80_m2_szt"
"5773",620000,"Powiat zamojski",2015,6
"5774",661000,"Powiat m.Biała Podlaska",2015,18
"5775",662000,"Powiat m.Chełm",2015,48
"5776",663000,"Powiat m.Lublin",2015,514
"5777",664000,"Powiat m.Zamość",2015,91
"5778",801000,"Powiat gorzowski",2015,51
"5779",802000,"Powiat krośnieński",2015,24
"5780",803000,"Powiat międzyrzecki",2015,35
"5781",804000,"Powiat nowosolski",2015,43
"5782",805000,"Powiat słubicki",2015,57
"5783",806000,"Powiat strzelecko-drezdenecki",2015,18
"5784",807000,"Powiat sulęciński",2015,28
"5785",808000,"Powiat świebodziński",2015,59
"5786",809000,"Powiat zielonogórski",2015,31
"5787",810000,"Powiat żagański",2015,15
"5788",811000,"Powiat żarski",2015,84
"5789",812000,"Powiat wschowski",2015,12
"5790",861000,"Powiat m.Gorzów Wielkopolski",2015,206
"5791",862000,"Powiat m.Zielona Góra",2015,186
"5792",1001000,"Powiat bełchatowski",2015,124
"5793",1002000,"Powiat kutnowski",2015,0
"5794",1003000,"Powiat łaski",2015,11
"5795",1004000,"Powiat łęczycki",2015,0
"5796",1005000,"Powiat łowicki",2015,14
"5797",1006000,"Powiat łódzki wschodni",2015,10
"5798",1007000,"Powiat opoczyński",2015,6
"5799",1008000,"Powiat pabianicki",2015,40
"5800",1009000,"Powiat pajęczański",2015,3
"5801",1010000,"Powiat piotrkowski",2015,0
"5802",1011000,"Powiat poddębicki",2015,14
"5803",1012000,"Powiat radomszczański",2015,16
"5804",1013000,"Powiat rawski",2015,8
"5805",1014000,"Powiat sieradzki",2015,33
"5806",1015000,"Powiat skierniewicki",2015,0
"5807",1016000,"Powiat tomaszowski",2015,38
"5808",1017000,"Powiat wieluński",2015,7
"5809",1018000,"Powiat wieruszowski",2015,18
"5810",1019000,"Powiat zduńskowolski",2015,26
"5811",1020000,"Powiat zgierski",2015,66
"5812",1021000,"Powiat brzeziński",2015,8
"5813",1061000,"Powiat m.Łódź",2015,877
"5814",1062000,"Powiat m.Piotrków Trybunalski",2015,54
"5815",1063000,"Powiat m.Skierniewice",2015,48
"5816",1201000,"Powiat bocheński",2015,28
"5817",1202000,"Powiat brzeski",2015,7
"5818",1203000,"Powiat chrzanowski",2015,48
"5819",1204000,"Powiat dąbrowski",2015,0
"5820",1205000,"Powiat gorlicki",2015,14
"5821",1206000,"Powiat krakowski",2015,45
"5822",1207000,"Powiat limanowski",2015,7
"5823",1208000,"Powiat miechowski",2015,5
"5824",1209000,"Powiat myślenicki",2015,6
"5825",1210000,"Powiat nowosądecki",2015,31
"5826",1211000,"Powiat nowotarski",2015,14
"5827",1212000,"Powiat olkuski",2015,57
"5828",1213000,"Powiat oświęcimski",2015,46
"5829",1214000,"Powiat proszowicki",2015,0
"5830",1215000,"Powiat suski",2015,6
"5831",1216000,"Powiat tarnowski",2015,0
"5832",1217000,"Powiat tatrzański",2015,18
