"","Kod","Nazwa","rok","Liczba_ludnosci_na_1_miejsce_w_kinach_stalych_ogolem_osoba"
"1860",3011000,"Powiat kościański",2006,1038
"1861",3012000,"Powiat krotoszyński",2006,148
"1862",3013000,"Powiat leszczyński",2006,0
"1863",3014000,"Powiat międzychodzki",2006,0
"1864",3015000,"Powiat nowotomyski",2006,187
"1865",3016000,"Powiat obornicki",2006,0
"1866",3017000,"Powiat ostrowski",2006,396
"1867",3018000,"Powiat ostrzeszowski",2006,181
"1868",3019000,"Powiat pilski",2006,127
"1869",3020000,"Powiat pleszewski",2006,298
"1870",3021000,"Powiat poznański",2006,1366
"1871",3022000,"Powiat rawicki",2006,0
"1872",3023000,"Powiat słupecki",2006,367
"1873",3024000,"Powiat szamotulski",2006,468
"1874",3025000,"Powiat średzki",2006,219
"1875",3026000,"Powiat śremski",2006,506
"1876",3027000,"Powiat turecki",2006,279
"1877",3028000,"Powiat wągrowiecki",2006,226
"1878",3029000,"Powiat wolsztyński",2006,0
"1879",3030000,"Powiat wrzesiński",2006,320
"1880",3031000,"Powiat złotowski",2006,209
"1881",3061000,"Powiat m.Kalisz",2006,142
"1882",3062000,"Powiat m.Konin",2006,56
"1883",3063000,"Powiat m.Leszno",2006,0
"1884",3064000,"Powiat m.Poznań",2006,44
"1885",3201000,"Powiat białogardzki",2006,140
"1886",3202000,"Powiat choszczeński",2006,83
"1887",3203000,"Powiat drawski",2006,0
"1888",3204000,"Powiat goleniowski",2006,161
"1889",3205000,"Powiat gryficki",2006,128
"1890",3206000,"Powiat gryfiński",2006,597
"1891",3207000,"Powiat kamieński",2006,366
"1892",3208000,"Powiat kołobrzeski",2006,173
"1893",3209000,"Powiat koszaliński",2006,247
"1894",3210000,"Powiat myśliborski",2006,0
"1895",3211000,"Powiat policki",2006,259
"1896",3212000,"Powiat pyrzycki",2006,0
"1897",3213000,"Powiat sławieński",2006,112
"1898",3214000,"Powiat stargardzki",2006,0
"1899",3215000,"Powiat szczecinecki",2006,0
"1900",3216000,"Powiat świdwiński",2006,89
"1901",3217000,"Powiat wałecki",2006,132
"1902",3218000,"Powiat łobeski",2006,0
"1903",3261000,"Powiat m.Koszalin",2006,121
"1904",3262000,"Powiat m.Szczecin",2006,115
"1905",3263000,"Powiat m.Świnoujście",2006,0
"1906",201000,"Powiat bolesławiecki",2007,240
"1907",202000,"Powiat dzierżoniowski",2007,158
"1908",203000,"Powiat głogowski",2007,173
"1909",204000,"Powiat górowski",2007,114
"1910",205000,"Powiat jaworski",2007,0
"1911",206000,"Powiat jeleniogórski",2007,0
"1912",207000,"Powiat kamiennogórski",2007,132
"1913",208000,"Powiat kłodzki",2007,104
"1914",209000,"Powiat legnicki",2007,0
"1915",210000,"Powiat lubański",2007,86
"1916",211000,"Powiat lubiński",2007,189
"1917",212000,"Powiat lwówecki",2007,0
"1918",213000,"Powiat milicki",2007,0
"1919",214000,"Powiat oleśnicki",2007,0
"1920",215000,"Powiat oławski",2007,0
"1921",216000,"Powiat polkowicki",2007,176
"1922",217000,"Powiat strzeliński",2007,0
"1923",218000,"Powiat średzki",2007,253
"1924",219000,"Powiat świdnicki",2007,117
"1925",220000,"Powiat trzebnicki",2007,174
"1926",221000,"Powiat wałbrzyski",2007,359
"1927",222000,"Powiat wołowski",2007,204
"1928",223000,"Powiat wrocławski",2007,0
"1929",224000,"Powiat ząbkowicki",2007,0
"1930",225000,"Powiat zgorzelecki",2007,180
"1931",226000,"Powiat złotoryjski",2007,217
"1932",261000,"Powiat m.Jelenia Góra",2007,69
"1933",262000,"Powiat m.Legnica",2007,142
"1934",263000,"Powiat m.Wałbrzych do 2002",2007,NA
"1935",264000,"Powiat m.Wrocław",2007,49
"1936",265000,"Powiat m.Wałbrzych od 2013",2007,NA
"1937",401000,"Powiat aleksandrowski",2007,0
"1938",402000,"Powiat brodnicki",2007,386
"1939",403000,"Powiat bydgoski",2007,0
"1940",404000,"Powiat chełmiński",2007,0
"1941",405000,"Powiat golubsko-dobrzyński",2007,273
"1942",406000,"Powiat grudziądzki",2007,0
"1943",407000,"Powiat inowrocławski",2007,0
"1944",408000,"Powiat lipnowski",2007,264
"1945",409000,"Powiat mogileński",2007,172
"1946",410000,"Powiat nakielski",2007,213
"1947",411000,"Powiat radziejowski",2007,0
"1948",412000,"Powiat rypiński",2007,130
"1949",413000,"Powiat sępoleński",2007,72
"1950",414000,"Powiat świecki",2007,266
"1951",415000,"Powiat toruński",2007,0
"1952",416000,"Powiat tucholski",2007,0
"1953",417000,"Powiat wąbrzeski",2007,104
"1954",418000,"Powiat włocławski",2007,0
"1955",419000,"Powiat żniński",2007,184
"1956",461000,"Powiat m.Bydgoszcz",2007,118
"1957",462000,"Powiat m.Grudziądz",2007,396
"1958",463000,"Powiat m.Toruń",2007,74
"1959",464000,"Powiat m.Włocławek",2007,94
"1960",601000,"Powiat bialski",2007,346
"1961",602000,"Powiat biłgorajski",2007,341
"1962",603000,"Powiat chełmski",2007,0
"1963",604000,"Powiat hrubieszowski",2007,170
"1964",605000,"Powiat janowski",2007,205
"1965",606000,"Powiat krasnostawski",2007,323
"1966",607000,"Powiat kraśnicki",2007,200
"1967",608000,"Powiat lubartowski",2007,460
"1968",609000,"Powiat lubelski",2007,0
"1969",610000,"Powiat łęczyński",2007,0
"1970",611000,"Powiat łukowski",2007,507
"1971",612000,"Powiat opolski",2007,152
"1972",613000,"Powiat parczewski",2007,0
"1973",614000,"Powiat puławski",2007,94
"1974",615000,"Powiat radzyński",2007,306
"1975",616000,"Powiat rycki",2007,92
"1976",617000,"Powiat świdnicki",2007,113
"1977",618000,"Powiat tomaszowski",2007,257
"1978",619000,"Powiat włodawski",2007,148
"1979",620000,"Powiat zamojski",2007,670
"1980",661000,"Powiat m.Biała Podlaska",2007,205
"1981",662000,"Powiat m.Chełm",2007,320
"1982",663000,"Powiat m.Lublin",2007,97
"1983",664000,"Powiat m.Zamość",2007,200
"1984",801000,"Powiat gorzowski",2007,0
"1985",802000,"Powiat krośnieński",2007,0
"1986",803000,"Powiat międzyrzecki",2007,530
"1987",804000,"Powiat nowosolski",2007,345
"1988",805000,"Powiat słubicki",2007,129
"1989",806000,"Powiat strzelecko-drezdenecki",2007,303
"1990",807000,"Powiat sulęciński",2007,129
"1991",808000,"Powiat świebodziński",2007,102
"1992",809000,"Powiat zielonogórski",2007,535
"1993",810000,"Powiat żagański",2007,0
"1994",811000,"Powiat żarski",2007,0
"1995",812000,"Powiat wschowski",2007,200
"1996",861000,"Powiat m.Gorzów Wielkopolski",2007,115
"1997",862000,"Powiat m.Zielona Góra",2007,122
"1998",1001000,"Powiat bełchatowski",2007,470
"1999",1002000,"Powiat kutnowski",2007,259
"2000",1003000,"Powiat łaski",2007,0
"2001",1004000,"Powiat łęczycki",2007,158
"2002",1005000,"Powiat łowicki",2007,593
"2003",1006000,"Powiat łódzki wschodni",2007,523
"2004",1007000,"Powiat opoczyński",2007,207
"2005",1008000,"Powiat pabianicki",2007,340
"2006",1009000,"Powiat pajęczański",2007,137
"2007",1010000,"Powiat piotrkowski",2007,323
"2008",1011000,"Powiat poddębicki",2007,0
"2009",1012000,"Powiat radomszczański",2007,455
"2010",1013000,"Powiat rawski",2007,821
"2011",1014000,"Powiat sieradzki",2007,0
"2012",1015000,"Powiat skierniewicki",2007,0
"2013",1016000,"Powiat tomaszowski",2007,447
"2014",1017000,"Powiat wieluński",2007,135
"2015",1018000,"Powiat wieruszowski",2007,324
"2016",1019000,"Powiat zduńskowolski",2007,0
"2017",1020000,"Powiat zgierski",2007,358
"2018",1021000,"Powiat brzeziński",2007,0
"2019",1061000,"Powiat m.Łódź",2007,106
"2020",1062000,"Powiat m.Piotrków Trybunalski",2007,121
"2021",1063000,"Powiat m.Skierniewice",2007,147
"2022",1201000,"Powiat bocheński",2007,595
"2023",1202000,"Powiat brzeski",2007,569
"2024",1203000,"Powiat chrzanowski",2007,217
"2025",1204000,"Powiat dąbrowski",2007,288
"2026",1205000,"Powiat gorlicki",2007,187
"2027",1206000,"Powiat krakowski",2007,663
"2028",1207000,"Powiat limanowski",2007,306
"2029",1208000,"Powiat miechowski",2007,0
"2030",1209000,"Powiat myślenicki",2007,301
"2031",1210000,"Powiat nowosądecki",2007,336
"2032",1211000,"Powiat nowotarski",2007,360
"2033",1212000,"Powiat olkuski",2007,103
"2034",1213000,"Powiat oświęcimski",2007,175
"2035",1214000,"Powiat proszowicki",2007,137
"2036",1215000,"Powiat suski",2007,0
"2037",1216000,"Powiat tarnowski",2007,1736
"2038",1217000,"Powiat tatrzański",2007,99
"2039",1218000,"Powiat wadowicki",2007,418
"2040",1219000,"Powiat wielicki",2007,0
"2041",1261000,"Powiat m.Kraków",2007,60
"2042",1262000,"Powiat m.Nowy Sącz",2007,80
"2043",1263000,"Powiat m.Tarnów",2007,125
"2044",1401000,"Powiat białobrzeski",2007,0
"2045",1402000,"Powiat ciechanowski",2007,235
"2046",1403000,"Powiat garwoliński",2007,355
"2047",1404000,"Powiat gostyniński",2007,120
"2048",1405000,"Powiat grodziski",2007,247
"2049",1406000,"Powiat grójecki",2007,322
"2050",1407000,"Powiat kozienicki",2007,0
"2051",1408000,"Powiat legionowski",2007,0
"2052",1409000,"Powiat lipski",2007,0
"2053",1410000,"Powiat łosicki",2007,127
"2054",1411000,"Powiat makowski",2007,178
"2055",1412000,"Powiat miński",2007,258
"2056",1413000,"Powiat mławski",2007,213
"2057",1414000,"Powiat nowodworski",2007,467
"2058",1415000,"Powiat ostrołęcki",2007,0
"2059",1416000,"Powiat ostrowski",2007,340
"2060",1417000,"Powiat otwocki",2007,612
"2061",1418000,"Powiat piaseczyński",2007,1436
"2062",1419000,"Powiat płocki",2007,0
"2063",1420000,"Powiat płoński",2007,199
"2064",1421000,"Powiat pruszkowski",2007,65
"2065",1422000,"Powiat przasnyski",2007,0
"2066",1423000,"Powiat przysuski",2007,196
"2067",1424000,"Powiat pułtuski",2007,227
"2068",1425000,"Powiat radomski",2007,0
"2069",1426000,"Powiat siedlecki",2007,0
"2070",1427000,"Powiat sierpecki",2007,0
"2071",1428000,"Powiat sochaczewski",2007,233
"2072",1429000,"Powiat sokołowski",2007,155
"2073",1430000,"Powiat szydłowiecki",2007,0
"2074",1432000,"Powiat warszawski zachodni",2007,0
"2075",1433000,"Powiat węgrowski",2007,228
"2076",1434000,"Powiat wołomiński",2007,0
"2077",1435000,"Powiat wyszkowski",2007,360
"2078",1436000,"Powiat zwoleński",2007,0
"2079",1437000,"Powiat żuromiński",2007,200
"2080",1438000,"Powiat żyrardowski",2007,0
"2081",1461000,"Powiat m.Ostrołęka",2007,141
"2082",1462000,"Powiat m.Płock",2007,0
"2083",1463000,"Powiat m.Radom",2007,168
"2084",1464000,"Powiat m.Siedlce",2007,315
"2085",1465000,"Powiat m. st. Warszawa",2007,55
"2086",1601000,"Powiat brzeski",2007,200
"2087",1602000,"Powiat głubczycki",2007,0
"2088",1603000,"Powiat kędzierzyńsko-kozielski",2007,338
"2089",1604000,"Powiat kluczborski",2007,232
"2090",1605000,"Powiat krapkowicki",2007,89
"2091",1606000,"Powiat namysłowski",2007,0
"2092",1607000,"Powiat nyski",2007,171
"2093",1608000,"Powiat oleski",2007,199
"2094",1609000,"Powiat opolski",2007,269
"2095",1610000,"Powiat prudnicki",2007,0
"2096",1611000,"Powiat strzelecki",2007,0
"2097",1661000,"Powiat m.Opole",2007,94
"2098",1801000,"Powiat bieszczadzki",2007,117
"2099",1802000,"Powiat brzozowski",2007,220
"2100",1803000,"Powiat dębicki",2007,249
"2101",1804000,"Powiat jarosławski",2007,254
"2102",1805000,"Powiat jasielski",2007,580
"2103",1806000,"Powiat kolbuszowski",2007,0
"2104",1807000,"Powiat krośnieński",2007,214
"2105",1808000,"Powiat leżajski",2007,96
"2106",1809000,"Powiat lubaczowski",2007,279
"2107",1810000,"Powiat łańcucki",2007,194
"2108",1811000,"Powiat mielecki",2007,327
"2109",1812000,"Powiat niżański",2007,145
"2110",1813000,"Powiat przemyski",2007,317
"2111",1814000,"Powiat przeworski",2007,177
"2112",1815000,"Powiat ropczycko-sędziszowski",2007,150
"2113",1816000,"Powiat rzeszowski",2007,0
"2114",1817000,"Powiat sanocki",2007,185
"2115",1818000,"Powiat stalowowolski",2007,98
"2116",1819000,"Powiat strzyżowski",2007,202
"2117",1820000,"Powiat tarnobrzeski",2007,243
"2118",1821000,"Powiat leski",2007,181
"2119",1861000,"Powiat m.Krosno",2007,61
"2120",1862000,"Powiat m.Przemyśl",2007,132
"2121",1863000,"Powiat m.Rzeszów",2007,97
"2122",1864000,"Powiat m.Tarnobrzeg",2007,307
"2123",2001000,"Powiat augustowski",2007,412
"2124",2002000,"Powiat białostocki",2007,474
"2125",2003000,"Powiat bielski",2007,0
"2126",2004000,"Powiat grajewski",2007,168
"2127",2005000,"Powiat hajnowski",2007,230
"2128",2006000,"Powiat kolneński",2007,142
"2129",2007000,"Powiat łomżyński",2007,0
"2130",2008000,"Powiat moniecki",2007,0
"2131",2009000,"Powiat sejneński",2007,0
"2132",2010000,"Powiat siemiatycki",2007,282
"2133",2011000,"Powiat sokólski",2007,129
"2134",2012000,"Powiat suwalski",2007,0
"2135",2013000,"Powiat wysokomazowiecki",2007,126
"2136",2014000,"Powiat zambrowski",2007,0
"2137",2061000,"Powiat m.Białystok",2007,174
"2138",2062000,"Powiat m.Łomża",2007,323
"2139",2063000,"Powiat m.Suwałki",2007,348
"2140",2201000,"Powiat bytowski",2007,123
"2141",2202000,"Powiat chojnicki",2007,214
"2142",2203000,"Powiat człuchowski",2007,232
"2143",2204000,"Powiat gdański",2007,0
"2144",2205000,"Powiat kartuski",2007,0
"2145",2206000,"Powiat kościerski",2007,0
"2146",2207000,"Powiat kwidzyński",2007,217
"2147",2208000,"Powiat lęborski",2007,250
"2148",2209000,"Powiat malborski",2007,279
"2149",2210000,"Powiat nowodworski",2007,0
"2150",2211000,"Powiat pucki",2007,388
"2151",2212000,"Powiat słupski",2007,317
"2152",2213000,"Powiat starogardzki",2007,361
"2153",2214000,"Powiat tczewski",2007,0
"2154",2215000,"Powiat wejherowski",2007,0
"2155",2216000,"Powiat sztumski",2007,138
"2156",2261000,"Powiat m.Gdańsk",2007,58
"2157",2262000,"Powiat m.Gdynia",2007,117
"2158",2263000,"Powiat m.Słupsk",2007,138
"2159",2264000,"Powiat m.Sopot",2007,106
"2160",2401000,"Powiat będziński",2007,933
"2161",2402000,"Powiat bielski",2007,324
"2162",2403000,"Powiat cieszyński",2007,245
"2163",2404000,"Powiat częstochowski",2007,535
"2164",2405000,"Powiat gliwicki",2007,603
"2165",2406000,"Powiat kłobucki",2007,180
"2166",2407000,"Powiat lubliniecki",2007,382
"2167",2408000,"Powiat mikołowski",2007,0
"2168",2409000,"Powiat myszkowski",2007,167
"2169",2410000,"Powiat pszczyński",2007,1169
"2170",2411000,"Powiat raciborski",2007,108
"2171",2412000,"Powiat rybnicki",2007,0
"2172",2413000,"Powiat tarnogórski",2007,279
"2173",2414000,"Powiat bieruńsko-lędziński",2007,161
"2174",2415000,"Powiat wodzisławski",2007,196
"2175",2416000,"Powiat zawierciański",2007,134
"2176",2417000,"Powiat żywiecki",2007,613
"2177",2461000,"Powiat m.Bielsko-Biała",2007,106
"2178",2462000,"Powiat m.Bytom",2007,0
"2179",2463000,"Powiat m.Chorzów",2007,223
"2180",2464000,"Powiat m.Częstochowa",2007,129
"2181",2465000,"Powiat m.Dąbrowa Górnicza",2007,165
"2182",2466000,"Powiat m.Gliwice",2007,69
"2183",2467000,"Powiat m.Jastrzębie-Zdrój",2007,123
"2184",2468000,"Powiat m.Jaworzno",2007,0
"2185",2469000,"Powiat m.Katowice",2007,34
"2186",2470000,"Powiat m.Mysłowice",2007,177
"2187",2471000,"Powiat m.Piekary Śląskie",2007,0
"2188",2472000,"Powiat m.Ruda Śląska",2007,75
"2189",2473000,"Powiat m.Rybnik",2007,39
"2190",2474000,"Powiat m.Siemianowice Śląskie",2007,176
"2191",2475000,"Powiat m.Sosnowiec",2007,106
"2192",2476000,"Powiat m.Świętochłowice",2007,0
"2193",2477000,"Powiat m.Tychy",2007,73
"2194",2478000,"Powiat m.Zabrze",2007,57
"2195",2479000,"Powiat m.Żory",2007,207
"2196",2601000,"Powiat buski",2007,0
"2197",2602000,"Powiat jędrzejowski",2007,398
"2198",2603000,"Powiat kazimierski",2007,0
"2199",2604000,"Powiat kielecki",2007,0
"2200",2605000,"Powiat konecki",2007,172
"2201",2606000,"Powiat opatowski",2007,0
"2202",2607000,"Powiat ostrowiecki",2007,249
"2203",2608000,"Powiat pińczowski",2007,0
"2204",2609000,"Powiat sandomierski",2007,0
"2205",2610000,"Powiat skarżyski",2007,121
"2206",2611000,"Powiat starachowicki",2007,168
"2207",2612000,"Powiat staszowski",2007,285
"2208",2613000,"Powiat włoszczowski",2007,0
"2209",2661000,"Powiat m.Kielce",2007,100
"2210",2801000,"Powiat bartoszycki",2007,0
"2211",2802000,"Powiat braniewski",2007,0
"2212",2803000,"Powiat działdowski",2007,260
"2213",2804000,"Powiat elbląski",2007,154
"2214",2805000,"Powiat ełcki",2007,218
"2215",2806000,"Powiat giżycki",2007,142
"2216",2807000,"Powiat iławski",2007,220
"2217",2808000,"Powiat kętrzyński",2007,165
"2218",2809000,"Powiat lidzbarski",2007,142
"2219",2810000,"Powiat mrągowski",2007,113
"2220",2811000,"Powiat nidzicki",2007,94
"2221",2812000,"Powiat nowomiejski",2007,290
"2222",2813000,"Powiat olecki",2007,94
"2223",2814000,"Powiat olsztyński",2007,227
"2224",2815000,"Powiat ostródzki",2007,344
"2225",2816000,"Powiat piski",2007,0
"2226",2817000,"Powiat szczycieński",2007,0
"2227",2818000,"Powiat gołdapski",2007,0
"2228",2819000,"Powiat węgorzewski",2007,0
"2229",2861000,"Powiat m.Elbląg",2007,289
"2230",2862000,"Powiat m.Olsztyn",2007,133
"2231",3001000,"Powiat chodzieski",2007,97
"2232",3002000,"Powiat czarnkowsko-trzcianecki",2007,148
"2233",3003000,"Powiat gnieźnieński",2007,297
"2234",3004000,"Powiat gostyński",2007,169
"2235",3005000,"Powiat grodziski",2007,0
"2236",3006000,"Powiat jarociński",2007,358
"2237",3007000,"Powiat kaliski",2007,0
"2238",3008000,"Powiat kępiński",2007,240
"2239",3009000,"Powiat kolski",2007,155
"2240",3010000,"Powiat koniński",2007,742
"2241",3011000,"Powiat kościański",2007,0
"2242",3012000,"Powiat krotoszyński",2007,216
"2243",3013000,"Powiat leszczyński",2007,0
"2244",3014000,"Powiat międzychodzki",2007,0
"2245",3015000,"Powiat nowotomyski",2007,187
"2246",3016000,"Powiat obornicki",2007,0
"2247",3017000,"Powiat ostrowski",2007,396
"2248",3018000,"Powiat ostrzeszowski",2007,181
"2249",3019000,"Powiat pilski",2007,126
"2250",3020000,"Powiat pleszewski",2007,406
"2251",3021000,"Powiat poznański",2007,1406
"2252",3022000,"Powiat rawicki",2007,0
"2253",3023000,"Powiat słupecki",2007,366
"2254",3024000,"Powiat szamotulski",2007,470
"2255",3025000,"Powiat średzki",2007,220
"2256",3026000,"Powiat śremski",2007,507
"2257",3027000,"Powiat turecki",2007,279
"2258",3028000,"Powiat wągrowiecki",2007,226
"2259",3029000,"Powiat wolsztyński",2007,0
"2260",3030000,"Powiat wrzesiński",2007,348
"2261",3031000,"Powiat złotowski",2007,209
"2262",3061000,"Powiat m.Kalisz",2007,141
"2263",3062000,"Powiat m.Konin",2007,56
"2264",3063000,"Powiat m.Leszno",2007,0
"2265",3064000,"Powiat m.Poznań",2007,36
"2266",3201000,"Powiat białogardzki",2007,140
"2267",3202000,"Powiat choszczeński",2007,83
"2268",3203000,"Powiat drawski",2007,0
"2269",3204000,"Powiat goleniowski",2007,162
"2270",3205000,"Powiat gryficki",2007,128
"2271",3206000,"Powiat gryfiński",2007,597
"2272",3207000,"Powiat kamieński",2007,367
"2273",3208000,"Powiat kołobrzeski",2007,175
"2274",3209000,"Powiat koszaliński",2007,248
"2275",3210000,"Powiat myśliborski",2007,0
"2276",3211000,"Powiat policki",2007,266
"2277",3212000,"Powiat pyrzycki",2007,0
"2278",3213000,"Powiat sławieński",2007,111
"2279",3214000,"Powiat stargardzki",2007,0
"2280",3215000,"Powiat szczecinecki",2007,259
"2281",3216000,"Powiat świdwiński",2007,88
"2282",3217000,"Powiat wałecki",2007,131
"2283",3218000,"Powiat łobeski",2007,0
"2284",3261000,"Powiat m.Koszalin",2007,120
"2285",3262000,"Powiat m.Szczecin",2007,115
"2286",3263000,"Powiat m.Świnoujście",2007,0
"2287",201000,"Powiat bolesławiecki",2008,159
"2288",202000,"Powiat dzierżoniowski",2008,157
"2289",203000,"Powiat głogowski",2008,173
"2290",204000,"Powiat górowski",2008,114
"2291",205000,"Powiat jaworski",2008,0
"2292",206000,"Powiat jeleniogórski",2008,0
"2293",207000,"Powiat kamiennogórski",2008,131
"2294",208000,"Powiat kłodzki",2008,109
"2295",209000,"Powiat legnicki",2008,0
"2296",210000,"Powiat lubański",2008,86
"2297",211000,"Powiat lubiński",2008,189
"2298",212000,"Powiat lwówecki",2008,0
"2299",213000,"Powiat milicki",2008,0
"2300",214000,"Powiat oleśnicki",2008,0
"2301",215000,"Powiat oławski",2008,0
"2302",216000,"Powiat polkowicki",2008,177
"2303",217000,"Powiat strzeliński",2008,0
"2304",218000,"Powiat średzki",2008,262
"2305",219000,"Powiat świdnicki",2008,119
"2306",220000,"Powiat trzebnicki",2008,175
"2307",221000,"Powiat wałbrzyski",2008,202
"2308",222000,"Powiat wołowski",2008,204
"2309",223000,"Powiat wrocławski",2008,0
"2310",224000,"Powiat ząbkowicki",2008,164
"2311",225000,"Powiat zgorzelecki",2008,181
"2312",226000,"Powiat złotoryjski",2008,216
"2313",261000,"Powiat m.Jelenia Góra",2008,68
"2314",262000,"Powiat m.Legnica",2008,142
"2315",263000,"Powiat m.Wałbrzych do 2002",2008,NA
"2316",264000,"Powiat m.Wrocław",2008,49
"2317",265000,"Powiat m.Wałbrzych od 2013",2008,NA
"2318",401000,"Powiat aleksandrowski",2008,0
"2319",402000,"Powiat brodnicki",2008,389
"2320",403000,"Powiat bydgoski",2008,0
"2321",404000,"Powiat chełmiński",2008,0
"2322",405000,"Powiat golubsko-dobrzyński",2008,0
"2323",406000,"Powiat grudziądzki",2008,0
"2324",407000,"Powiat inowrocławski",2008,0
"2325",408000,"Powiat lipnowski",2008,462
"2326",409000,"Powiat mogileński",2008,172
"2327",410000,"Powiat nakielski",2008,213
"2328",411000,"Powiat radziejowski",2008,0
"2329",412000,"Powiat rypiński",2008,130
"2330",413000,"Powiat sępoleński",2008,74
"2331",414000,"Powiat świecki",2008,264
"2332",415000,"Powiat toruński",2008,0
"2333",416000,"Powiat tucholski",2008,0
"2334",417000,"Powiat wąbrzeski",2008,104
"2335",418000,"Powiat włocławski",2008,0
"2336",419000,"Powiat żniński",2008,184
"2337",461000,"Powiat m.Bydgoszcz",2008,73
"2338",462000,"Powiat m.Grudziądz",2008,451
"2339",463000,"Powiat m.Toruń",2008,73
"2340",464000,"Powiat m.Włocławek",2008,94
"2341",601000,"Powiat bialski",2008,346
"2342",602000,"Powiat biłgorajski",2008,341
"2343",603000,"Powiat chełmski",2008,0
"2344",604000,"Powiat hrubieszowski",2008,169
"2345",605000,"Powiat janowski",2008,0
"2346",606000,"Powiat krasnostawski",2008,321
"2347",607000,"Powiat kraśnicki",2008,200
"2348",608000,"Powiat lubartowski",2008,466
"2349",609000,"Powiat lubelski",2008,0
"2350",610000,"Powiat łęczyński",2008,0
"2351",611000,"Powiat łukowski",2008,507
"2352",612000,"Powiat opolski",2008,151
"2353",613000,"Powiat parczewski",2008,0
"2354",614000,"Powiat puławski",2008,96
"2355",615000,"Powiat radzyński",2008,305
"2356",616000,"Powiat rycki",2008,91
"2357",617000,"Powiat świdnicki",2008,113
"2358",618000,"Powiat tomaszowski",2008,256
"2359",619000,"Powiat włodawski",2008,147
"2360",620000,"Powiat zamojski",2008,668
"2361",661000,"Powiat m.Biała Podlaska",2008,205
"2362",662000,"Powiat m.Chełm",2008,319
"2363",663000,"Powiat m.Lublin",2008,100
"2364",664000,"Powiat m.Zamość",2008,200
"2365",801000,"Powiat gorzowski",2008,0
"2366",802000,"Powiat krośnieński",2008,0
"2367",803000,"Powiat międzyrzecki",2008,529
"2368",804000,"Powiat nowosolski",2008,345
"2369",805000,"Powiat słubicki",2008,128
"2370",806000,"Powiat strzelecko-drezdenecki",2008,0
"2371",807000,"Powiat sulęciński",2008,127
"2372",808000,"Powiat świebodziński",2008,140
"2373",809000,"Powiat zielonogórski",2008,538
"2374",810000,"Powiat żagański",2008,0
"2375",811000,"Powiat żarski",2008,0
"2376",812000,"Powiat wschowski",2008,200
"2377",861000,"Powiat m.Gorzów Wielkopolski",2008,115
"2378",862000,"Powiat m.Zielona Góra",2008,52
"2379",1001000,"Powiat bełchatowski",2008,465
"2380",1002000,"Powiat kutnowski",2008,258
"2381",1003000,"Powiat łaski",2008,0
"2382",1004000,"Powiat łęczycki",2008,158
"2383",1005000,"Powiat łowicki",2008,590
"2384",1006000,"Powiat łódzki wschodni",2008,528
"2385",1007000,"Powiat opoczyński",2008,207
"2386",1008000,"Powiat pabianicki",2008,340
"2387",1009000,"Powiat pajęczański",2008,137
"2388",1010000,"Powiat piotrkowski",2008,323
"2389",1011000,"Powiat poddębicki",2008,0
"2390",1012000,"Powiat radomszczański",2008,157
"2391",1013000,"Powiat rawski",2008,137
"2392",1014000,"Powiat sieradzki",2008,0
"2393",1015000,"Powiat skierniewicki",2008,0
"2394",1016000,"Powiat tomaszowski",2008,446
"2395",1017000,"Powiat wieluński",2008,135
"2396",1018000,"Powiat wieruszowski",2008,325
"2397",1019000,"Powiat zduńskowolski",2008,0
"2398",1020000,"Powiat zgierski",2008,359
"2399",1021000,"Powiat brzeziński",2008,0
"2400",1061000,"Powiat m.Łódź",2008,105
"2401",1062000,"Powiat m.Piotrków Trybunalski",2008,186
"2402",1063000,"Powiat m.Skierniewice",2008,106
"2403",1201000,"Powiat bocheński",2008,598
"2404",1202000,"Powiat brzeski",2008,650
"2405",1203000,"Powiat chrzanowski",2008,157
"2406",1204000,"Powiat dąbrowski",2008,374
"2407",1205000,"Powiat gorlicki",2008,187
"2408",1206000,"Powiat krakowski",2008,816
"2409",1207000,"Powiat limanowski",2008,308
"2410",1208000,"Powiat miechowski",2008,0
"2411",1209000,"Powiat myślenicki",2008,304
"2412",1210000,"Powiat nowosądecki",2008,338
"2413",1211000,"Powiat nowotarski",2008,649
"2414",1212000,"Powiat olkuski",2008,103
"2415",1213000,"Powiat oświęcimski",2008,110
"2416",1214000,"Powiat proszowicki",2008,137
"2417",1215000,"Powiat suski",2008,0
"2418",1216000,"Powiat tarnowski",2008,1741
"2419",1217000,"Powiat tatrzański",2008,87
"2420",1218000,"Powiat wadowicki",2008,268
"2421",1219000,"Powiat wielicki",2008,0
"2422",1261000,"Powiat m.Kraków",2008,63
"2423",1262000,"Powiat m.Nowy Sącz",2008,116
"2424",1263000,"Powiat m.Tarnów",2008,125
"2425",1401000,"Powiat białobrzeski",2008,0
"2426",1402000,"Powiat ciechanowski",2008,235
"2427",1403000,"Powiat garwoliński",2008,427
"2428",1404000,"Powiat gostyniński",2008,120
"2429",1405000,"Powiat grodziski",2008,215
"2430",1406000,"Powiat grójecki",2008,359
"2431",1407000,"Powiat kozienicki",2008,0
"2432",1408000,"Powiat legionowski",2008,3377
"2433",1409000,"Powiat lipski",2008,0
"2434",1410000,"Powiat łosicki",2008,126
"2435",1411000,"Powiat makowski",2008,178
"2436",1412000,"Powiat miński",2008,359
"2437",1413000,"Powiat mławski",2008,213
"2438",1414000,"Powiat nowodworski",2008,468
