"","Kod","Nazwa","rok","Liczba_ludnosci_na_1_miejsce_w_kinach_stalych_ogolem_osoba"
"138",1263000,"Powiat m.Tarnów",2002,129
"139",1401000,"Powiat białobrzeski",2002,0
"140",1402000,"Powiat ciechanowski",2002,238
"141",1403000,"Powiat garwoliński",2002,355
"142",1404000,"Powiat gostyniński",2002,123
"143",1405000,"Powiat grodziski",2002,231
"144",1406000,"Powiat grójecki",2002,209
"145",1407000,"Powiat kozienicki",2002,0
"146",1408000,"Powiat legionowski",2002,209
"147",1409000,"Powiat lipski",2002,179
"148",1410000,"Powiat łosicki",2002,131
"149",1411000,"Powiat makowski",2002,182
"150",1412000,"Powiat miński",2002,251
"151",1413000,"Powiat mławski",2002,216
"152",1414000,"Powiat nowodworski",2002,168
"153",1415000,"Powiat ostrołęcki",2002,0
"154",1416000,"Powiat ostrowski",2002,347
"155",1417000,"Powiat otwocki",2002,594
"156",1418000,"Powiat piaseczyński",2002,430
"157",1419000,"Powiat płocki",2002,0
"158",1420000,"Powiat płoński",2002,202
"159",1421000,"Powiat pruszkowski",2002,63
"160",1422000,"Powiat przasnyski",2002,0
"161",1423000,"Powiat przysuski",2002,185
"162",1424000,"Powiat pułtuski",2002,222
"163",1425000,"Powiat radomski",2002,0
"164",1426000,"Powiat siedlecki",2002,0
"165",1427000,"Powiat sierpecki",2002,0
"166",1428000,"Powiat sochaczewski",2002,232
"167",1429000,"Powiat sokołowski",2002,161
"168",1430000,"Powiat szydłowiecki",2002,0
"169",1432000,"Powiat warszawski zachodni",2002,481
"170",1433000,"Powiat węgrowski",2002,231
"171",1434000,"Powiat wołomiński",2002,465
"172",1435000,"Powiat wyszkowski",2002,123
"173",1436000,"Powiat zwoleński",2002,0
"174",1437000,"Powiat żuromiński",2002,204
"175",1438000,"Powiat żyrardowski",2002,0
"176",1461000,"Powiat m.Ostrołęka",2002,0
"177",1462000,"Powiat m.Płock",2002,151
"178",1463000,"Powiat m.Radom",2002,332
"179",1464000,"Powiat m.Siedlce",2002,175
"180",1465000,"Powiat m. st. Warszawa",2002,66
"181",1601000,"Powiat brzeski",2002,184
"182",1602000,"Powiat głubczycki",2002,161
"183",1603000,"Powiat kędzierzyńsko-kozielski",2002,347
"184",1604000,"Powiat kluczborski",2002,129
"185",1605000,"Powiat krapkowicki",2002,118
"186",1606000,"Powiat namysłowski",2002,0
"187",1607000,"Powiat nyski",2002,174
"188",1608000,"Powiat oleski",2002,138
"189",1609000,"Powiat opolski",2002,272
"190",1610000,"Powiat prudnicki",2002,0
"191",1611000,"Powiat strzelecki",2002,224
"192",1661000,"Powiat m.Opole",2002,126
"193",1801000,"Powiat bieszczadzki",2002,92
"194",1802000,"Powiat brzozowski",2002,220
"195",1803000,"Powiat dębicki",2002,248
"196",1804000,"Powiat jarosławski",2002,114
"197",1805000,"Powiat jasielski",2002,625
"198",1806000,"Powiat kolbuszowski",2002,455
"199",1807000,"Powiat krośnieński",2002,212
"200",1808000,"Powiat leżajski",2002,96
"201",1809000,"Powiat lubaczowski",2002,141
"202",1810000,"Powiat łańcucki",2002,107
"203",1811000,"Powiat mielecki",2002,464
"204",1812000,"Powiat niżański",2002,111
"205",1813000,"Powiat przemyski",2002,318
"206",1814000,"Powiat przeworski",2002,178
"207",1815000,"Powiat ropczycko-sędziszowski",2002,159
"208",1816000,"Powiat rzeszowski",2002,1172
"209",1817000,"Powiat sanocki",2002,221
"210",1818000,"Powiat stalowowolski",2002,100
"211",1819000,"Powiat strzyżowski",2002,202
"212",1820000,"Powiat tarnobrzeski",2002,244
"213",1821000,"Powiat leski",2002,71
"214",1861000,"Powiat m.Krosno",2002,62
"215",1862000,"Powiat m.Przemyśl",2002,118
"216",1863000,"Powiat m.Rzeszów",2002,76
"217",1864000,"Powiat m.Tarnobrzeg",2002,202
"218",2001000,"Powiat augustowski",2002,296
"219",2002000,"Powiat białostocki",2002,1384
"220",2003000,"Powiat bielski",2002,190
"221",2004000,"Powiat grajewski",2002,139
"222",2005000,"Powiat hajnowski",2002,320
"223",2006000,"Powiat kolneński",2002,145
"224",2007000,"Powiat łomżyński",2002,0
"225",2008000,"Powiat moniecki",2002,0
"226",2009000,"Powiat sejneński",2002,0
"227",2010000,"Powiat siemiatycki",2002,173
"228",2011000,"Powiat sokólski",2002,132
"229",2012000,"Powiat suwalski",2002,0
"230",2013000,"Powiat wysokomazowiecki",2002,94
"231",2014000,"Powiat zambrowski",2002,151
"232",2061000,"Powiat m.Białystok",2002,174
"233",2062000,"Powiat m.Łomża",2002,323
"234",2063000,"Powiat m.Suwałki",2002,231
"235",2201000,"Powiat bytowski",2002,132
"236",2202000,"Powiat chojnicki",2002,138
"237",2203000,"Powiat człuchowski",2002,248
"238",2204000,"Powiat gdański",2002,0
"239",2205000,"Powiat kartuski",2002,0
"240",2206000,"Powiat kościerski",2002,0
"241",2207000,"Powiat kwidzyński",2002,224
"242",2208000,"Powiat lęborski",2002,249
"243",2209000,"Powiat malborski",2002,281
"244",2210000,"Powiat nowodworski",2002,0
"245",2211000,"Powiat pucki",2002,120
"246",2212000,"Powiat słupski",2002,300
"247",2213000,"Powiat starogardzki",2002,355
"248",2214000,"Powiat tczewski",2002,346
"249",2215000,"Powiat wejherowski",2002,0
"250",2216000,"Powiat sztumski",2002,137
"251",2261000,"Powiat m.Gdańsk",2002,77
"252",2262000,"Powiat m.Gdynia",2002,92
"253",2263000,"Powiat m.Słupsk",2002,148
"254",2264000,"Powiat m.Sopot",2002,56
"255",2401000,"Powiat będziński",2002,933
"256",2402000,"Powiat bielski",2002,312
"257",2403000,"Powiat cieszyński",2002,201
"258",2404000,"Powiat częstochowski",2002,607
"259",2405000,"Powiat gliwicki",2002,615
"260",2406000,"Powiat kłobucki",2002,174
"261",2407000,"Powiat lubliniecki",2002,260
"262",2408000,"Powiat mikołowski",2002,0
"263",2409000,"Powiat myszkowski",2002,161
"264",2410000,"Powiat pszczyński",2002,598
"265",2411000,"Powiat raciborski",2002,88
"266",2412000,"Powiat rybnicki",2002,0
"267",2413000,"Powiat tarnogórski",2002,176
"268",2414000,"Powiat bieruńsko-lędziński",2002,159
"269",2415000,"Powiat wodzisławski",2002,131
"270",2416000,"Powiat zawierciański",2002,234
"271",2417000,"Powiat żywiecki",2002,387
"272",2461000,"Powiat m.Bielsko-Biała",2002,205
"273",2462000,"Powiat m.Bytom",2002,646
"274",2463000,"Powiat m.Chorzów",2002,228
"275",2464000,"Powiat m.Częstochowa",2002,253
"276",2465000,"Powiat m.Dąbrowa Górnicza",2002,450
"277",2466000,"Powiat m.Gliwice",2002,200
"278",2467000,"Powiat m.Jastrzębie-Zdrój",2002,112
"279",2468000,"Powiat m.Jaworzno",2002,205
"280",2469000,"Powiat m.Katowice",2002,76
"281",2470000,"Powiat m.Mysłowice",2002,125
"282",2471000,"Powiat m.Piekary Śląskie",2002,233
"283",2472000,"Powiat m.Ruda Śląska",2002,78
"284",2473000,"Powiat m.Rybnik",2002,100
"285",2474000,"Powiat m.Siemianowice Śląskie",2002,173
"286",2475000,"Powiat m.Sosnowiec",2002,406
"287",2476000,"Powiat m.Świętochłowice",2002,0
"288",2477000,"Powiat m.Tychy",2002,233
"289",2478000,"Powiat m.Zabrze",2002,56
"290",2479000,"Powiat m.Żory",2002,212
"291",2601000,"Powiat buski",2002,160
"292",2602000,"Powiat jędrzejowski",2002,173
"293",2603000,"Powiat kazimierski",2002,104
"294",2604000,"Powiat kielecki",2002,445
"295",2605000,"Powiat konecki",2002,112
"296",2606000,"Powiat opatowski",2002,0
"297",2607000,"Powiat ostrowiecki",2002,234
"298",2608000,"Powiat pińczowski",2002,256
"299",2609000,"Powiat sandomierski",2002,425
"300",2610000,"Powiat skarżyski",2002,81
"301",2611000,"Powiat starachowicki",2002,172
"302",2612000,"Powiat staszowski",2002,149
"303",2613000,"Powiat włoszczowski",2002,174
"304",2661000,"Powiat m.Kielce",2002,137
