"","Kod","Nazwa","rok","SKOLARYZACJA_CTAB_wspolczynnik_skolaryzacji_netto_gimnazja_proc"
"18363",1208000,"Powiat miechowski",2003,93.37
"18364",1209000,"Powiat myślenicki",2003,96.84
"18365",1210000,"Powiat nowosądecki",2003,97.69
"18366",1211000,"Powiat nowotarski",2003,92.25
"18367",1212000,"Powiat olkuski",2003,99.05
"18368",1213000,"Powiat oświęcimski",2003,100.42
"18369",1214000,"Powiat proszowicki",2003,96.52
"18370",1215000,"Powiat suski",2003,99.17
"18371",1216000,"Powiat tarnowski",2003,92.13
"18372",1217000,"Powiat tatrzański",2003,90.9
"18373",1218000,"Powiat wadowicki",2003,99.67
"18374",1219000,"Powiat wielicki",2003,96.75
"18375",1261000,"Powiat m.Kraków",2003,98.07
"18376",1262000,"Powiat m.Nowy Sącz",2003,97.94
"18377",1263000,"Powiat m.Tarnów",2003,102.73
"18378",1401000,"Powiat białobrzeski",2003,97.25
"18379",1402000,"Powiat ciechanowski",2003,97.93
"18380",1403000,"Powiat garwoliński",2003,98.79
"18381",1404000,"Powiat gostyniński",2003,93.95
"18382",1405000,"Powiat grodziski",2003,98.93
"18383",1406000,"Powiat grójecki",2003,96.41
"18384",1407000,"Powiat kozienicki",2003,98.18
"18385",1408000,"Powiat legionowski",2003,91.72
"18386",1409000,"Powiat lipski",2003,93.44
"18387",1410000,"Powiat łosicki",2003,97.24
"18388",1411000,"Powiat makowski",2003,94.59
"18389",1412000,"Powiat miński",2003,97.77
"18390",1413000,"Powiat mławski",2003,97.22
"18391",1414000,"Powiat nowodworski",2003,95.38
"18392",1415000,"Powiat ostrołęcki",2003,90.86
"18393",1416000,"Powiat ostrowski",2003,98.91
"18394",1417000,"Powiat otwocki",2003,94.05
"18395",1418000,"Powiat piaseczyński",2003,89.63
"18396",1419000,"Powiat płocki",2003,91.24
"18397",1420000,"Powiat płoński",2003,98.37
"18398",1421000,"Powiat pruszkowski",2003,90.87
"18399",1422000,"Powiat przasnyski",2003,97.81
"18400",1423000,"Powiat przysuski",2003,100.22
"18401",1424000,"Powiat pułtuski",2003,97.94
"18402",1425000,"Powiat radomski",2003,91.99
"18403",1426000,"Powiat siedlecki",2003,88.84
"18404",1427000,"Powiat sierpecki",2003,96.45
"18405",1428000,"Powiat sochaczewski",2003,98.29
"18406",1429000,"Powiat sokołowski",2003,97.51
"18407",1430000,"Powiat szydłowiecki",2003,93.59
"18408",1432000,"Powiat warszawski zachodni",2003,83.25
"18409",1433000,"Powiat węgrowski",2003,97.14
"18410",1434000,"Powiat wołomiński",2003,94.4
"18411",1435000,"Powiat wyszkowski",2003,96.1
"18412",1436000,"Powiat zwoleński",2003,93.18
"18413",1437000,"Powiat żuromiński",2003,98.41
