"","Kod","Nazwa","rok","Liczba_lokali_mieszkalnych_sprzedanych_w_ramach_transakcji_rynkowych_rynek_wtorny_ogolem_szt"
"19203",1812000,"Powiat niżański",2015,21
"19204",1813000,"Powiat przemyski",2015,35
"19205",1814000,"Powiat przeworski",2015,24
"19206",1815000,"Powiat ropczycko-sędziszowski",2015,40
"19207",1816000,"Powiat rzeszowski",2015,54
"19208",1817000,"Powiat sanocki",2015,46
"19209",1818000,"Powiat stalowowolski",2015,254
"19210",1819000,"Powiat strzyżowski",2015,18
"19211",1820000,"Powiat tarnobrzeski",2015,55
"19212",1821000,"Powiat leski",2015,24
"19213",1861000,"Powiat m.Krosno",2015,108
"19214",1862000,"Powiat m.Przemyśl",2015,174
"19215",1863000,"Powiat m.Rzeszów",2015,706
"19216",1864000,"Powiat m.Tarnobrzeg",2015,70
"19217",2001000,"Powiat augustowski",2015,118
"19218",2002000,"Powiat białostocki",2015,120
"19219",2003000,"Powiat bielski",2015,0
"19220",2004000,"Powiat grajewski",2015,39
"19221",2005000,"Powiat hajnowski",2015,43
"19222",2006000,"Powiat kolneński",2015,24
"19223",2007000,"Powiat łomżyński",2015,0
"19224",2008000,"Powiat moniecki",2015,12
"19225",2009000,"Powiat sejneński",2015,11
"19226",2010000,"Powiat siemiatycki",2015,5
"19227",2011000,"Powiat sokólski",2015,28
"19228",2012000,"Powiat suwalski",2015,17
"19229",2013000,"Powiat wysokomazowiecki",2015,6
"19230",2014000,"Powiat zambrowski",2015,68
"19231",2061000,"Powiat m.Białystok",2015,1140
"19232",2062000,"Powiat m.Łomża",2015,127
"19233",2063000,"Powiat m.Suwałki",2015,159
"19234",2201000,"Powiat bytowski",2015,149
"19235",2202000,"Powiat chojnicki",2015,139
"19236",2203000,"Powiat człuchowski",2015,152
"19237",2204000,"Powiat gdański",2015,223
"19238",2205000,"Powiat kartuski",2015,85
"19239",2206000,"Powiat kościerski",2015,59
"19240",2207000,"Powiat kwidzyński",2015,189
"19241",2208000,"Powiat lęborski",2015,308
"19242",2209000,"Powiat malborski",2015,176
"19243",2210000,"Powiat nowodworski",2015,107
"19244",2211000,"Powiat pucki",2015,189
"19245",2212000,"Powiat słupski",2015,150
"19246",2213000,"Powiat starogardzki",2015,206
"19247",2214000,"Powiat tczewski",2015,335
"19248",2215000,"Powiat wejherowski",2015,532
"19249",2216000,"Powiat sztumski",2015,78
"19250",2261000,"Powiat m.Gdańsk",2015,2798
"19251",2262000,"Powiat m.Gdynia",2015,1337
"19252",2263000,"Powiat m.Słupsk",2015,532
"19253",2264000,"Powiat m.Sopot",2015,329
"19254",2401000,"Powiat będziński",2015,374
"19255",2402000,"Powiat bielski",2015,184
"19256",2403000,"Powiat cieszyński",2015,258
"19257",2404000,"Powiat częstochowski",2015,50
"19258",2405000,"Powiat gliwicki",2015,246
"19259",2406000,"Powiat kłobucki",2015,32
"19260",2407000,"Powiat lubliniecki",2015,32
"19261",2408000,"Powiat mikołowski",2015,103
"19262",2409000,"Powiat myszkowski",2015,47
"19263",2410000,"Powiat pszczyński",2015,141
"19264",2411000,"Powiat raciborski",2015,229
"19265",2412000,"Powiat rybnicki",2015,27
"19266",2413000,"Powiat tarnogórski",2015,251
"19267",2414000,"Powiat bieruńsko-lędziński",2015,88
"19268",2415000,"Powiat wodzisławski",2015,190
"19269",2416000,"Powiat zawierciański",2015,17
"19270",2417000,"Powiat żywiecki",2015,43
"19271",2461000,"Powiat m.Bielsko-Biała",2015,610
"19272",2462000,"Powiat m.Bytom",2015,823
"19273",2463000,"Powiat m.Chorzów",2015,338
"19274",2464000,"Powiat m.Częstochowa",2015,509
"19275",2465000,"Powiat m.Dąbrowa Górnicza",2015,334
"19276",2466000,"Powiat m.Gliwice",2015,867
"19277",2467000,"Powiat m.Jastrzębie-Zdrój",2015,131
"19278",2468000,"Powiat m.Jaworzno",2015,374
"19279",2469000,"Powiat m.Katowice",2015,1089
"19280",2470000,"Powiat m.Mysłowice",2015,290
"19281",2471000,"Powiat m.Piekary Śląskie",2015,168
"19282",2472000,"Powiat m.Ruda Śląska",2015,289
"19283",2473000,"Powiat m.Rybnik",2015,153
"19284",2474000,"Powiat m.Siemianowice Śląskie",2015,263
"19285",2475000,"Powiat m.Sosnowiec",2015,513
"19286",2476000,"Powiat m.Świętochłowice",2015,184
"19287",2477000,"Powiat m.Tychy",2015,580
"19288",2478000,"Powiat m.Zabrze",2015,612
"19289",2479000,"Powiat m.Żory",2015,139
"19290",2601000,"Powiat buski",2015,39
"19291",2602000,"Powiat jędrzejowski",2015,64
"19292",2603000,"Powiat kazimierski",2015,9
"19293",2604000,"Powiat kielecki",2015,4
"19294",2605000,"Powiat konecki",2015,43
"19295",2606000,"Powiat opatowski",2015,17
"19296",2607000,"Powiat ostrowiecki",2015,80
"19297",2608000,"Powiat pińczowski",2015,29
"19298",2609000,"Powiat sandomierski",2015,54
"19299",2610000,"Powiat skarżyski",2015,91
"19300",2611000,"Powiat starachowicki",2015,142
"19301",2612000,"Powiat staszowski",2015,40
"19302",2613000,"Powiat włoszczowski",2015,33
"19303",2661000,"Powiat m.Kielce",2015,665
"19304",2801000,"Powiat bartoszycki",2015,149
"19305",2802000,"Powiat braniewski",2015,125
"19306",2803000,"Powiat działdowski",2015,95
"19307",2804000,"Powiat elbląski",2015,68
"19308",2805000,"Powiat ełcki",2015,289
"19309",2806000,"Powiat giżycki",2015,219
"19310",2807000,"Powiat iławski",2015,250
"19311",2808000,"Powiat kętrzyński",2015,206
"19312",2809000,"Powiat lidzbarski",2015,115
"19313",2810000,"Powiat mrągowski",2015,128
"19314",2811000,"Powiat nidzicki",2015,67
"19315",2812000,"Powiat nowomiejski",2015,46
"19316",2813000,"Powiat olecki",2015,114
"19317",2814000,"Powiat olsztyński",2015,218
"19318",2815000,"Powiat ostródzki",2015,286
"19319",2816000,"Powiat piski",2015,134
"19320",2817000,"Powiat szczycieński",2015,103
"19321",2818000,"Powiat gołdapski",2015,105
"19322",2819000,"Powiat węgorzewski",2015,52
"19323",2861000,"Powiat m.Elbląg",2015,549
"19324",2862000,"Powiat m.Olsztyn",2015,1010
"19325",3001000,"Powiat chodzieski",2015,64
"19326",3002000,"Powiat czarnkowsko-trzcianecki",2015,132
"19327",3003000,"Powiat gnieźnieński",2015,165
"19328",3004000,"Powiat gostyński",2015,48
"19329",3005000,"Powiat grodziski",2015,71
"19330",3006000,"Powiat jarociński",2015,23
"19331",3007000,"Powiat kaliski",2015,17
"19332",3008000,"Powiat kępiński",2015,7
"19333",3009000,"Powiat kolski",2015,68
"19334",3010000,"Powiat koniński",2015,34
"19335",3011000,"Powiat kościański",2015,63
"19336",3012000,"Powiat krotoszyński",2015,159
"19337",3013000,"Powiat leszczyński",2015,29
"19338",3014000,"Powiat międzychodzki",2015,76
"19339",3015000,"Powiat nowotomyski",2015,183
"19340",3016000,"Powiat obornicki",2015,83
"19341",3017000,"Powiat ostrowski",2015,94
"19342",3018000,"Powiat ostrzeszowski",2015,26
"19343",3019000,"Powiat pilski",2015,289
"19344",3020000,"Powiat pleszewski",2015,94
"19345",3021000,"Powiat poznański",2015,1000
"19346",3022000,"Powiat rawicki",2015,60
"19347",3023000,"Powiat słupecki",2015,48
"19348",3024000,"Powiat szamotulski",2015,39
"19349",3025000,"Powiat średzki",2015,44
"19350",3026000,"Powiat śremski",2015,83
"19351",3027000,"Powiat turecki",2015,100
"19352",3028000,"Powiat wągrowiecki",2015,138
"19353",3029000,"Powiat wolsztyński",2015,43
"19354",3030000,"Powiat wrzesiński",2015,198
"19355",3031000,"Powiat złotowski",2015,144
"19356",3061000,"Powiat m.Kalisz",2015,254
"19357",3062000,"Powiat m.Konin",2015,265
"19358",3063000,"Powiat m.Leszno",2015,173
"19359",3064000,"Powiat m.Poznań",2015,2656
"19360",3201000,"Powiat białogardzki",2015,141
"19361",3202000,"Powiat choszczeński",2015,119
"19362",3203000,"Powiat drawski",2015,139
"19363",3204000,"Powiat goleniowski",2015,265
"19364",3205000,"Powiat gryficki",2015,157
"19365",3206000,"Powiat gryfiński",2015,229
"19366",3207000,"Powiat kamieński",2015,110
"19367",3208000,"Powiat kołobrzeski",2015,402
"19368",3209000,"Powiat koszaliński",2015,145
"19369",3210000,"Powiat myśliborski",2015,131
"19370",3211000,"Powiat policki",2015,190
"19371",3212000,"Powiat pyrzycki",2015,102
"19372",3213000,"Powiat sławieński",2015,128
"19373",3214000,"Powiat stargardzki",2015,479
"19374",3215000,"Powiat szczecinecki",2015,258
"19375",3216000,"Powiat świdwiński",2015,118
"19376",3217000,"Powiat wałecki",2015,175
"19377",3218000,"Powiat łobeski",2015,109
"19378",3261000,"Powiat m.Koszalin",2015,476
"19379",3262000,"Powiat m.Szczecin",2015,1665
"19380",3263000,"Powiat m.Świnoujście",2015,244
"19381",201000,"Powiat bolesławiecki",2016,516
"19382",202000,"Powiat dzierżoniowski",2016,304
"19383",203000,"Powiat głogowski",2016,407
"19384",204000,"Powiat górowski",2016,4
"19385",205000,"Powiat jaworski",2016,119
"19386",206000,"Powiat jeleniogórski",2016,152
"19387",207000,"Powiat kamiennogórski",2016,116
"19388",208000,"Powiat kłodzki",2016,423
"19389",209000,"Powiat legnicki",2016,104
"19390",210000,"Powiat lubański",2016,180
"19391",211000,"Powiat lubiński",2016,455
"19392",212000,"Powiat lwówecki",2016,74
"19393",213000,"Powiat milicki",2016,76
"19394",214000,"Powiat oleśnicki",2016,330
"19395",215000,"Powiat oławski",2016,192
"19396",216000,"Powiat polkowicki",2016,171
"19397",217000,"Powiat strzeliński",2016,102
"19398",218000,"Powiat średzki",2016,58
"19399",219000,"Powiat świdnicki",2016,686
"19400",220000,"Powiat trzebnicki",2016,242
"19401",221000,"Powiat wałbrzyski",2016,237
"19402",222000,"Powiat wołowski",2016,238
"19403",223000,"Powiat wrocławski",2016,332
"19404",224000,"Powiat ząbkowicki",2016,157
"19405",225000,"Powiat zgorzelecki",2016,102
"19406",226000,"Powiat złotoryjski",2016,112
"19407",261000,"Powiat m.Jelenia Góra",2016,714
"19408",262000,"Powiat m.Legnica",2016,540
"19409",264000,"Powiat m.Wrocław",2016,5507
"19410",265000,"Powiat m.Wałbrzych od 2013",2016,582
"19411",401000,"Powiat aleksandrowski",2016,139
"19412",402000,"Powiat brodnicki",2016,130
"19413",403000,"Powiat bydgoski",2016,93
"19414",404000,"Powiat chełmiński",2016,107
"19415",405000,"Powiat golubsko-dobrzyński",2016,53
"19416",406000,"Powiat grudziądzki",2016,34
"19417",407000,"Powiat inowrocławski",2016,477
"19418",408000,"Powiat lipnowski",2016,60
"19419",409000,"Powiat mogileński",2016,55
"19420",410000,"Powiat nakielski",2016,161
"19421",411000,"Powiat radziejowski",2016,36
"19422",412000,"Powiat rypiński",2016,63
"19423",413000,"Powiat sępoleński",2016,72
"19424",414000,"Powiat świecki",2016,117
"19425",415000,"Powiat toruński",2016,135
"19426",416000,"Powiat tucholski",2016,41
"19427",417000,"Powiat wąbrzeski",2016,50
"19428",418000,"Powiat włocławski",2016,38
"19429",419000,"Powiat żniński",2016,81
"19430",461000,"Powiat m.Bydgoszcz",2016,1704
"19431",462000,"Powiat m.Grudziądz",2016,418
"19432",463000,"Powiat m.Toruń",2016,750
"19433",464000,"Powiat m.Włocławek",2016,293
"19434",601000,"Powiat bialski",2016,20
"19435",602000,"Powiat biłgorajski",2016,37
"19436",603000,"Powiat chełmski",2016,17
"19437",604000,"Powiat hrubieszowski",2016,82
"19438",605000,"Powiat janowski",2016,16
"19439",606000,"Powiat krasnostawski",2016,26
"19440",607000,"Powiat kraśnicki",2016,104
"19441",608000,"Powiat lubartowski",2016,92
"19442",609000,"Powiat lubelski",2016,81
"19443",610000,"Powiat łęczyński",2016,41
"19444",611000,"Powiat łukowski",2016,55
"19445",612000,"Powiat opolski",2016,42
"19446",613000,"Powiat parczewski",2016,23
"19447",614000,"Powiat puławski",2016,178
"19448",615000,"Powiat radzyński",2016,58
"19449",616000,"Powiat rycki",2016,74
"19450",617000,"Powiat świdnicki",2016,85
"19451",618000,"Powiat tomaszowski",2016,50
"19452",619000,"Powiat włodawski",2016,41
"19453",620000,"Powiat zamojski",2016,14
"19454",661000,"Powiat m.Biała Podlaska",2016,118
"19455",662000,"Powiat m.Chełm",2016,177
"19456",663000,"Powiat m.Lublin",2016,1297
"19457",664000,"Powiat m.Zamość",2016,191
"19458",801000,"Powiat gorzowski",2016,209
"19459",802000,"Powiat krośnieński",2016,184
"19460",803000,"Powiat międzyrzecki",2016,217
"19461",804000,"Powiat nowosolski",2016,218
"19462",805000,"Powiat słubicki",2016,233
"19463",806000,"Powiat strzelecko-drezdenecki",2016,132
"19464",807000,"Powiat sulęciński",2016,117
"19465",808000,"Powiat świebodziński",2016,137
"19466",809000,"Powiat zielonogórski",2016,157
"19467",810000,"Powiat żagański",2016,258
"19468",811000,"Powiat żarski",2016,346
"19469",812000,"Powiat wschowski",2016,44
"19470",861000,"Powiat m.Gorzów Wielkopolski",2016,671
"19471",862000,"Powiat m.Zielona Góra",2016,744
"19472",1001000,"Powiat bełchatowski",2016,284
"19473",1002000,"Powiat kutnowski",2016,36
"19474",1003000,"Powiat łaski",2016,55
"19475",1004000,"Powiat łęczycki",2016,47
"19476",1005000,"Powiat łowicki",2016,60
"19477",1006000,"Powiat łódzki wschodni",2016,21
"19478",1007000,"Powiat opoczyński",2016,46
"19479",1008000,"Powiat pabianicki",2016,223
"19480",1009000,"Powiat pajęczański",2016,3
"19481",1010000,"Powiat piotrkowski",2016,12
"19482",1011000,"Powiat poddębicki",2016,31
"19483",1012000,"Powiat radomszczański",2016,72
"19484",1013000,"Powiat rawski",2016,45
"19485",1014000,"Powiat sieradzki",2016,113
"19486",1015000,"Powiat skierniewicki",2016,0
"19487",1016000,"Powiat tomaszowski",2016,184
"19488",1017000,"Powiat wieluński",2016,34
"19489",1018000,"Powiat wieruszowski",2016,53
"19490",1019000,"Powiat zduńskowolski",2016,74
"19491",1020000,"Powiat zgierski",2016,277
"19492",1021000,"Powiat brzeziński",2016,37
"19493",1061000,"Powiat m.Łódź",2016,3797
"19494",1062000,"Powiat m.Piotrków Trybunalski",2016,165
"19495",1063000,"Powiat m.Skierniewice",2016,133
"19496",1201000,"Powiat bocheński",2016,65
"19497",1202000,"Powiat brzeski",2016,21
"19498",1203000,"Powiat chrzanowski",2016,284
"19499",1204000,"Powiat dąbrowski",2016,26
"19500",1205000,"Powiat gorlicki",2016,63
"19501",1206000,"Powiat krakowski",2016,166
"19502",1207000,"Powiat limanowski",2016,42
"19503",1208000,"Powiat miechowski",2016,17
"19504",1209000,"Powiat myślenicki",2016,39
"19505",1210000,"Powiat nowosądecki",2016,106
"19506",1211000,"Powiat nowotarski",2016,80
"19507",1212000,"Powiat olkuski",2016,159
"19508",1213000,"Powiat oświęcimski",2016,283
"19509",1214000,"Powiat proszowicki",2016,16
"19510",1215000,"Powiat suski",2016,24
"19511",1216000,"Powiat tarnowski",2016,0
"19512",1217000,"Powiat tatrzański",2016,94
"19513",1218000,"Powiat wadowicki",2016,114
"19514",1219000,"Powiat wielicki",2016,165
"19515",1261000,"Powiat m.Kraków",2016,3728
"19516",1262000,"Powiat m.Nowy Sącz",2016,276
"19517",1263000,"Powiat m.Tarnów",2016,350
"19518",1401000,"Powiat białobrzeski",2016,19
"19519",1402000,"Powiat ciechanowski",2016,109
"19520",1403000,"Powiat garwoliński",2016,27
"19521",1404000,"Powiat gostyniński",2016,50
"19522",1405000,"Powiat grodziski",2016,158
"19523",1406000,"Powiat grójecki",2016,96
"19524",1407000,"Powiat kozienicki",2016,60
"19525",1408000,"Powiat legionowski",2016,206
"19526",1409000,"Powiat lipski",2016,0
"19527",1410000,"Powiat łosicki",2016,37
"19528",1411000,"Powiat makowski",2016,0
"19529",1412000,"Powiat miński",2016,149
"19530",1413000,"Powiat mławski",2016,88
"19531",1414000,"Powiat nowodworski",2016,187
"19532",1415000,"Powiat ostrołęcki",2016,0
"19533",1416000,"Powiat ostrowski",2016,39
"19534",1417000,"Powiat otwocki",2016,145
"19535",1418000,"Powiat piaseczyński",2016,580
"19536",1419000,"Powiat płocki",2016,35
"19537",1420000,"Powiat płoński",2016,60
"19538",1421000,"Powiat pruszkowski",2016,321
"19539",1422000,"Powiat przasnyski",2016,52
"19540",1423000,"Powiat przysuski",2016,14
"19541",1424000,"Powiat pułtuski",2016,53
"19542",1425000,"Powiat radomski",2016,48
"19543",1426000,"Powiat siedlecki",2016,7
"19544",1427000,"Powiat sierpecki",2016,48
"19545",1428000,"Powiat sochaczewski",2016,128
"19546",1429000,"Powiat sokołowski",2016,36
"19547",1430000,"Powiat szydłowiecki",2016,20
"19548",1432000,"Powiat warszawski zachodni",2016,136
"19549",1433000,"Powiat węgrowski",2016,23
"19550",1434000,"Powiat wołomiński",2016,470
"19551",1435000,"Powiat wyszkowski",2016,128
"19552",1436000,"Powiat zwoleński",2016,4
"19553",1437000,"Powiat żuromiński",2016,41
"19554",1438000,"Powiat żyrardowski",2016,124
"19555",1461000,"Powiat m.Ostrołęka",2016,131
"19556",1462000,"Powiat m.Płock",2016,422
"19557",1463000,"Powiat m.Radom",2016,378
"19558",1464000,"Powiat m.Siedlce",2016,380
"19559",1465000,"Powiat m. st. Warszawa",2016,12099
"19560",1601000,"Powiat brzeski",2016,324
"19561",1602000,"Powiat głubczycki",2016,93
"19562",1603000,"Powiat kędzierzyńsko-kozielski",2016,334
"19563",1604000,"Powiat kluczborski",2016,151
"19564",1605000,"Powiat krapkowicki",2016,112
"19565",1606000,"Powiat namysłowski",2016,186
"19566",1607000,"Powiat nyski",2016,365
"19567",1608000,"Powiat oleski",2016,49
"19568",1609000,"Powiat opolski",2016,114
"19569",1610000,"Powiat prudnicki",2016,95
"19570",1611000,"Powiat strzelecki",2016,96
"19571",1661000,"Powiat m.Opole",2016,667
"19572",1801000,"Powiat bieszczadzki",2016,35
"19573",1802000,"Powiat brzozowski",2016,19
"19574",1803000,"Powiat dębicki",2016,84
