"","Kod","Nazwa","rok","Ludnosc_wg_grup_wieku_i_plci_ogolem_ogolem_osoba"
"133",1217000,"Powiat tatrzański",1995,64881
"134",1218000,"Powiat wadowicki",1995,152045
"135",1219000,"Powiat wielicki",1995,97494
"136",1261000,"Powiat m.Kraków",1995,744987
"137",1262000,"Powiat m.Nowy Sącz",1995,82301
"138",1263000,"Powiat m.Tarnów",1995,121926
"139",1401000,"Powiat białobrzeski",1995,34327
"140",1402000,"Powiat ciechanowski",1995,93708
"141",1403000,"Powiat garwoliński",1995,107935
"142",1404000,"Powiat gostyniński",1995,49453
"143",1405000,"Powiat grodziski",1995,70328
"144",1406000,"Powiat grójecki",1995,109084
"145",1407000,"Powiat kozienicki",1995,66646
"146",1408000,"Powiat legionowski",1995,84950
"147",1409000,"Powiat lipski",1995,41726
"148",1410000,"Powiat łosicki",1995,35745
"149",1411000,"Powiat makowski",1995,50391
"150",1412000,"Powiat miński",1995,147771
"151",1413000,"Powiat mławski",1995,75744
"152",1414000,"Powiat nowodworski",1995,74058
"153",1415000,"Powiat ostrołęcki",1995,83287
"154",1416000,"Powiat ostrowski",1995,79083
"155",1417000,"Powiat otwocki",1995,111218
"156",1418000,"Powiat piaseczyński",1995,101305
"157",1419000,"Powiat płocki",1995,109393
"158",1420000,"Powiat płoński",1995,91478
"159",1421000,"Powiat pruszkowski",1995,131811
"160",1422000,"Powiat przasnyski",1995,55746
"161",1423000,"Powiat przysuski",1995,48031
"162",1424000,"Powiat pułtuski",1995,51420
"163",1425000,"Powiat radomski",1995,140261
"164",1426000,"Powiat siedlecki",1995,81809
"165",1427000,"Powiat sierpecki",1995,56654
"166",1428000,"Powiat sochaczewski",1995,84671
"167",1429000,"Powiat sokołowski",1995,61881
"168",1430000,"Powiat szydłowiecki",1995,45526
"169",1431000,"Powiat warszawski",1995,1635112
"170",1432000,"Powiat warszawski zachodni",1995,83769
"171",1433000,"Powiat węgrowski",1995,72077
"172",1434000,"Powiat wołomiński",1995,176527
"173",1435000,"Powiat wyszkowski",1995,70717
"174",1436000,"Powiat zwoleński",1995,38984
"175",1437000,"Powiat żuromiński",1995,42441
"176",1438000,"Powiat żyrardowski",1995,76464
"177",1461000,"Powiat m.Ostrołęka",1995,54162
"178",1462000,"Powiat m.Płock",1995,127174
"179",1463000,"Powiat m.Radom",1995,232649
"180",1464000,"Powiat m.Siedlce",1995,74575
"181",1465000,"Powiat m. st. Warszawa",1995,NA
"182",1601000,"Powiat brzeski",1995,93709
"183",1602000,"Powiat głubczycki",1995,54137
"184",1603000,"Powiat kędzierzyńsko-kozielski",1995,111259
"185",1604000,"Powiat kluczborski",1995,72691
"186",1605000,"Powiat krapkowicki",1995,73892
"187",1606000,"Powiat namysłowski",1995,44497
"188",1607000,"Powiat nyski",1995,150293
"189",1608000,"Powiat oleski",1995,72387
"190",1609000,"Powiat opolski",1995,139132
"191",1610000,"Powiat prudnicki",1995,63895
"192",1611000,"Powiat strzelecki",1995,87061
"193",1661000,"Powiat m.Opole",1995,130219
"194",1801000,"Powiat bieszczadzki",1995,50349
"195",1802000,"Powiat brzozowski",1995,65554
