"","Kod","Nazwa","rok","SCIEZKI_ROWEROWE_CTAB_scieZki_rowerowe_na_10_tys_km2_km"
"3473",1214000,"Powiat proszowicki",2011,0
"3474",1215000,"Powiat suski",2011,23.3
"3475",1216000,"Powiat tarnowski",2011,7.8
"3476",1217000,"Powiat tatrzański",2011,27.6
"3477",1218000,"Powiat wadowicki",2011,0
"3478",1219000,"Powiat wielicki",2011,121.7
"3479",1261000,"Powiat m.Kraków",2011,3304.8
"3480",1262000,"Powiat m.Nowy Sącz",2011,1111.5
"3481",1263000,"Powiat m.Tarnów",2011,7018.5
"3482",1401000,"Powiat białobrzeski",2011,72
"3483",1402000,"Powiat ciechanowski",2011,67
"3484",1403000,"Powiat garwoliński",2011,54.5
"3485",1404000,"Powiat gostyniński",2011,180.5
"3486",1405000,"Powiat grodziski",2011,158
"3487",1406000,"Powiat grójecki",2011,24.5
"3488",1407000,"Powiat kozienicki",2011,52.4
"3489",1408000,"Powiat legionowski",2011,392
"3490",1409000,"Powiat lipski",2011,0
"3491",1410000,"Powiat łosicki",2011,0
"3492",1411000,"Powiat makowski",2011,0
"3493",1412000,"Powiat miński",2011,80.8
"3494",1413000,"Powiat mławski",2011,118.5
"3495",1414000,"Powiat nowodworski",2011,382.8
"3496",1415000,"Powiat ostrołęcki",2011,133.9
"3497",1416000,"Powiat ostrowski",2011,400.7
"3498",1417000,"Powiat otwocki",2011,263
"3499",1418000,"Powiat piaseczyński",2011,281.8
"3500",1419000,"Powiat płocki",2011,88.5
"3501",1420000,"Powiat płoński",2011,82.6
"3502",1421000,"Powiat pruszkowski",2011,479.1
"3503",1422000,"Powiat przasnyski",2011,57.4
"3504",1423000,"Powiat przysuski",2011,21.2
"3505",1424000,"Powiat pułtuski",2011,0
"3506",1425000,"Powiat radomski",2011,96.7
"3507",1426000,"Powiat siedlecki",2011,38
"3508",1427000,"Powiat sierpecki",2011,9.4
"3509",1428000,"Powiat sochaczewski",2011,87.1
"3510",1429000,"Powiat sokołowski",2011,37.1
"3511",1430000,"Powiat szydłowiecki",2011,0
"3512",1432000,"Powiat warszawski zachodni",2011,376.6
"3513",1433000,"Powiat węgrowski",2011,80.3
"3514",1434000,"Powiat wołomiński",2011,274.6
"3515",1435000,"Powiat wyszkowski",2011,224.8
"3516",1436000,"Powiat zwoleński",2011,26.2
"3517",1437000,"Powiat żuromiński",2011,44.6
"3518",1438000,"Powiat żyrardowski",2011,123.9
"3519",1461000,"Powiat m.Ostrołęka",2011,5623.5
"3520",1462000,"Powiat m.Płock",2011,1408.5
"3521",1463000,"Powiat m.Radom",2011,2093
"3522",1464000,"Powiat m.Siedlce",2011,7878.2
"3523",1465000,"Powiat m. st. Warszawa",2011,5641.5
"3524",1601000,"Powiat brzeski",2011,2.3
"3525",1602000,"Powiat głubczycki",2011,0
"3526",1603000,"Powiat kędzierzyńsko-kozielski",2011,284.7
"3527",1604000,"Powiat kluczborski",2011,9.4
"3528",1605000,"Powiat krapkowicki",2011,1131.7
"3529",1606000,"Powiat namysłowski",2011,42.8
"3530",1607000,"Powiat nyski",2011,375.9
"3531",1608000,"Powiat oleski",2011,38
"3532",1609000,"Powiat opolski",2011,242
"3533",1610000,"Powiat prudnicki",2011,63
"3534",1611000,"Powiat strzelecki",2011,802.1
"3535",1661000,"Powiat m.Opole",2011,2910.4
"3536",1802000,"Powiat brzozowski",2011,0
"3537",1803000,"Powiat dębicki",2011,123.5
"3538",1804000,"Powiat jarosławski",2011,0
"3539",1805000,"Powiat jasielski",2011,0
"3540",1806000,"Powiat kolbuszowski",2011,0
"3541",1807000,"Powiat krośnieński",2011,0
"3542",1808000,"Powiat leżajski",2011,20.6
"3543",1809000,"Powiat lubaczowski",2011,0
"3544",1810000,"Powiat łańcucki",2011,0
"3545",1811000,"Powiat mielecki",2011,269.2
"3546",1812000,"Powiat niżański",2011,2.5
"3547",1813000,"Powiat przemyski",2011,11.6
"3548",1815000,"Powiat ropczycko-sędziszowski",2011,16.4
"3549",1816000,"Powiat rzeszowski",2011,39.7
"3550",1818000,"Powiat stalowowolski",2011,278.9
"3551",1819000,"Powiat strzyżowski",2011,0
"3552",1820000,"Powiat tarnobrzeski",2011,0
"3553",1821000,"Powiat leski",2011,299.4
"3554",1861000,"Powiat m.Krosno",2011,3103.4
"3555",1862000,"Powiat m.Przemyśl",2011,1580.8
"3556",1863000,"Powiat m.Rzeszów",2011,5663.5
"3557",1864000,"Powiat m.Tarnobrzeg",2011,1171
"3558",2001000,"Powiat augustowski",2011,108.5
"3559",2002000,"Powiat białostocki",2011,65.2
"3560",2003000,"Powiat bielski",2011,63.5
"3561",2004000,"Powiat grajewski",2011,44.4
"3562",2005000,"Powiat hajnowski",2011,27.7
"3563",2006000,"Powiat kolneński",2011,19.1
"3564",2007000,"Powiat łomżyński",2011,0
"3565",2008000,"Powiat moniecki",2011,0
"3566",2009000,"Powiat sejneński",2011,0
"3567",2010000,"Powiat siemiatycki",2011,8.9
"3568",2011000,"Powiat sokólski",2011,1.5
"3569",2012000,"Powiat suwalski",2011,5.4
"3570",2013000,"Powiat wysokomazowiecki",2011,0
"3571",2014000,"Powiat zambrowski",2011,35.5
"3572",2061000,"Powiat m.Białystok",2011,6481.9
"3573",2062000,"Powiat m.Łomża",2011,3703.7
"3574",2063000,"Powiat m.Suwałki",2011,6090.7
"3575",2201000,"Powiat bytowski",2011,109.5
"3576",2202000,"Powiat chojnicki",2011,137.1
"3577",2203000,"Powiat człuchowski",2011,191.1
"3578",2204000,"Powiat gdański",2011,321.3
"3579",2205000,"Powiat kartuski",2011,0
"3580",2206000,"Powiat kościerski",2011,187.9
"3581",2207000,"Powiat kwidzyński",2011,365.4
"3582",2208000,"Powiat lęborski",2011,222.4
"3583",2209000,"Powiat malborski",2011,228.6
"3584",2210000,"Powiat nowodworski",2011,32.8
"3585",2211000,"Powiat pucki",2011,720.1
"3586",2212000,"Powiat słupski",2011,142.3
"3587",2213000,"Powiat starogardzki",2011,168
"3588",2214000,"Powiat tczewski",2011,180.7
"3589",2215000,"Powiat wejherowski",2011,194.5
"3590",2216000,"Powiat sztumski",2011,157.4
"3591",2261000,"Powiat m.Gdańsk",2011,3435.6
"3592",2262000,"Powiat m.Gdynia",2011,2811.9
"3593",2263000,"Powiat m.Słupsk",2011,6303.6
"3594",2264000,"Powiat m.Sopot",2011,8044
"3595",2401000,"Powiat będziński",2011,854.1
"3596",2402000,"Powiat bielski",2011,261.6
"3597",2403000,"Powiat cieszyński",2011,395.7
"3598",2404000,"Powiat częstochowski",2011,99.2
"3599",2405000,"Powiat gliwicki",2011,12
"3600",2406000,"Powiat kłobucki",2011,32.6
"3601",2407000,"Powiat lubliniecki",2011,313.8
"3602",2408000,"Powiat mikołowski",2011,0
"3603",2409000,"Powiat myszkowski",2011,37.6
"3604",2410000,"Powiat pszczyński",2011,63.7
"3605",2411000,"Powiat raciborski",2011,152.6
"3606",2412000,"Powiat rybnicki",2011,67.1
"3607",2413000,"Powiat tarnogórski",2011,158.3
"3608",2414000,"Powiat bieruńsko-lędziński",2011,916.9
"3609",2415000,"Powiat wodzisławski",2011,453.4
"3610",2416000,"Powiat zawierciański",2011,212.5
"3611",2417000,"Powiat żywiecki",2011,13.5
"3612",2461000,"Powiat m.Bielsko-Biała",2011,1373.4
"3613",2462000,"Powiat m.Bytom",2011,763.2
"3614",2463000,"Powiat m.Chorzów",2011,4272
"3615",2464000,"Powiat m.Częstochowa",2011,2235.3
"3616",2465000,"Powiat m.Dąbrowa Górnicza",2011,164.3
"3617",2466000,"Powiat m.Gliwice",2011,6991.3
"3618",2467000,"Powiat m.Jastrzębie-Zdrój",2011,1757.9
"3619",2468000,"Powiat m.Jaworzno",2011,550.5
"3620",2469000,"Powiat m.Katowice",2011,3061.2
"3621",2470000,"Powiat m.Mysłowice",2011,137.2
"3622",2471000,"Powiat m.Piekary Śląskie",2011,0
"3623",2472000,"Powiat m.Ruda Śląska",2011,604.7
"3624",2473000,"Powiat m.Rybnik",2011,4731.7
"3625",2474000,"Powiat m.Siemianowice Śląskie",2011,0
"3626",2475000,"Powiat m.Sosnowiec",2011,1240.9
"3627",2476000,"Powiat m.Świętochłowice",2011,0
"3628",2477000,"Powiat m.Tychy",2011,3422.6
"3629",2478000,"Powiat m.Zabrze",2011,1181.6
"3630",2479000,"Powiat m.Żory",2011,154.7
"3631",2601000,"Powiat buski",2011,31
"3632",2602000,"Powiat jędrzejowski",2011,33.4
"3633",2603000,"Powiat kazimierski",2011,0
"3634",2604000,"Powiat kielecki",2011,106
"3635",2605000,"Powiat konecki",2011,27.2
"3636",2606000,"Powiat opatowski",2011,0
"3637",2607000,"Powiat ostrowiecki",2011,479.9
"3638",2609000,"Powiat sandomierski",2011,0
"3639",2610000,"Powiat skarżyski",2011,88.5
"3640",2611000,"Powiat starachowicki",2011,89.8
"3641",2612000,"Powiat staszowski",2011,90.8
"3642",2613000,"Powiat włoszczowski",2011,5.5
"3643",2661000,"Powiat m.Kielce",2011,1523
"3644",2801000,"Powiat bartoszycki",2011,6.9
"3645",2802000,"Powiat braniewski",2011,0
"3646",2803000,"Powiat działdowski",2011,12.6
"3647",2804000,"Powiat elbląski",2011,23.3
"3648",2805000,"Powiat ełcki",2011,90.8
"3649",2806000,"Powiat giżycki",2011,71.5
"3650",2807000,"Powiat iławski",2011,191.3
"3651",2808000,"Powiat kętrzyński",2011,29.7
"3652",2809000,"Powiat lidzbarski",2011,54.1
"3653",2810000,"Powiat mrągowski",2011,70.4
"3654",2811000,"Powiat nidzicki",2011,124.9
"3655",2812000,"Powiat nowomiejski",2011,21.6
"3656",2813000,"Powiat olecki",2011,32
"3657",2814000,"Powiat olsztyński",2011,29.6
"3658",2815000,"Powiat ostródzki",2011,8.5
"3659",2816000,"Powiat piski",2011,236.7
"3660",2817000,"Powiat szczycieński",2011,47.6
"3661",2818000,"Powiat gołdapski",2011,32.4
"3662",2819000,"Powiat węgorzewski",2011,0
"3663",2861000,"Powiat m.Elbląg",2011,4422.5
"3664",2862000,"Powiat m.Olsztyn",2011,3509.6
"3665",3001000,"Powiat chodzieski",2011,86.1
"3666",3002000,"Powiat czarnkowsko-trzcianecki",2011,119
"3667",3003000,"Powiat gnieźnieński",2011,210.4
"3668",3004000,"Powiat gostyński",2011,237
"3669",3005000,"Powiat grodziski",2011,229
"3670",3006000,"Powiat jarociński",2011,100.5
"3671",3007000,"Powiat kaliski",2011,0
"3672",3008000,"Powiat kępiński",2011,148
"3673",3009000,"Powiat kolski",2011,7.9
"3674",3010000,"Powiat koniński",2011,79.2
"3675",3011000,"Powiat kościański",2011,112.1
"3676",3012000,"Powiat krotoszyński",2011,68.7
"3677",3013000,"Powiat leszczyński",2011,356.2
"3678",3014000,"Powiat międzychodzki",2011,23.1
"3679",3015000,"Powiat nowotomyski",2011,247.6
"3680",3016000,"Powiat obornicki",2011,108.3
"3681",3017000,"Powiat ostrowski",2011,240.5
"3682",3018000,"Powiat ostrzeszowski",2011,82.8
"3683",3019000,"Powiat pilski",2011,344.6
"3684",3020000,"Powiat pleszewski",2011,251
"3685",3021000,"Powiat poznański",2011,552.7
"3686",3022000,"Powiat rawicki",2011,77.7
"3687",3023000,"Powiat słupecki",2011,52.5
"3688",3024000,"Powiat szamotulski",2011,251.1
"3689",3025000,"Powiat średzki",2011,96.2
"3690",3026000,"Powiat śremski",2011,179.4
"3691",3027000,"Powiat turecki",2011,146.3
"3692",3028000,"Powiat wągrowiecki",2011,123.1
"3693",3029000,"Powiat wolsztyński",2011,350.1
"3694",3030000,"Powiat wrzesiński",2011,58.3
"3695",3031000,"Powiat złotowski",2011,90.4
"3696",3061000,"Powiat m.Kalisz",2011,3486
"3697",3062000,"Powiat m.Konin",2011,2396.6
"3698",3063000,"Powiat m.Leszno",2011,9416.2
"3699",3064000,"Powiat m.Poznań",2011,4009
"3700",3201000,"Powiat białogardzki",2011,0
"3701",3202000,"Powiat choszczeński",2011,27.1
"3702",3203000,"Powiat drawski",2011,4
"3703",3204000,"Powiat goleniowski",2011,27.9
"3704",3205000,"Powiat gryficki",2011,56
"3705",3206000,"Powiat gryfiński",2011,10.7
"3706",3207000,"Powiat kamieński",2011,481.3
"3707",3208000,"Powiat kołobrzeski",2011,317.4
"3708",3209000,"Powiat koszaliński",2011,196.6
"3709",3210000,"Powiat myśliborski",2011,6.8
"3710",3211000,"Powiat policki",2011,192.4
"3711",3212000,"Powiat pyrzycki",2011,78.5
"3712",3213000,"Powiat sławieński",2011,63.3
"3713",3214000,"Powiat stargardzki",2011,386.9
"3714",3215000,"Powiat szczecinecki",2011,109.3
"3715",3216000,"Powiat świdwiński",2011,266.2
"3716",3217000,"Powiat wałecki",2011,19.8
"3717",3218000,"Powiat łobeski",2011,0
"3718",3261000,"Powiat m.Koszalin",2011,3325.2
"3719",3262000,"Powiat m.Szczecin",2011,2781.6
"3720",3263000,"Powiat m.Świnoujście",2011,1074.9
"3721",201000,"Powiat bolesławiecki",2012,90.5
"3722",202000,"Powiat dzierżoniowski",2012,1928.9
"3723",203000,"Powiat głogowski",2012,261.7
"3724",204000,"Powiat górowski",2012,0
"3725",205000,"Powiat jaworski",2012,0
"3726",208000,"Powiat kłodzki",2012,42.6
"3727",209000,"Powiat legnicki",2012,79.3
"3728",211000,"Powiat lubiński",2012,262.8
"3729",212000,"Powiat lwówecki",2012,105.7
"3730",213000,"Powiat milicki",2012,380.5
"3731",214000,"Powiat oleśnicki",2012,109.6
"3732",215000,"Powiat oławski",2012,229
"3733",216000,"Powiat polkowicki",2012,84.7
"3734",217000,"Powiat strzeliński",2012,32.2
"3735",218000,"Powiat średzki",2012,9.9
"3736",219000,"Powiat świdnicki",2012,205.1
"3737",220000,"Powiat trzebnicki",2012,120
"3738",221000,"Powiat wałbrzyski",2012,102.9
"3739",222000,"Powiat wołowski",2012,179.3
"3740",223000,"Powiat wrocławski",2012,48.3
"3741",224000,"Powiat ząbkowicki",2012,25
"3742",225000,"Powiat zgorzelecki",2012,224.2
"3743",226000,"Powiat złotoryjski",2012,521
"3744",261000,"Powiat m.Jelenia Góra",2012,3653.2
"3745",262000,"Powiat m.Legnica",2012,5116.4
"3746",264000,"Powiat m.Wrocław",2012,6970.2
"3747",265000,"Powiat m.Wałbrzych od 2013",2012,NA
"3748",401000,"Powiat aleksandrowski",2012,118
"3749",402000,"Powiat brodnicki",2012,38.5
"3750",403000,"Powiat bydgoski",2012,481.3
"3751",404000,"Powiat chełmiński",2012,220.1
"3752",405000,"Powiat golubsko-dobrzyński",2012,241.5
"3753",406000,"Powiat grudziądzki",2012,59.1
"3754",407000,"Powiat inowrocławski",2012,326.5
"3755",408000,"Powiat lipnowski",2012,0
"3756",409000,"Powiat mogileński",2012,118.5
"3757",410000,"Powiat nakielski",2012,0
"3758",411000,"Powiat radziejowski",2012,31.3
"3759",412000,"Powiat rypiński",2012,0
"3760",413000,"Powiat sępoleński",2012,163.1
"3761",414000,"Powiat świecki",2012,84.1
"3762",415000,"Powiat toruński",2012,696.5
"3763",416000,"Powiat tucholski",2012,76.2
"3764",417000,"Powiat wąbrzeski",2012,33.9
"3765",418000,"Powiat włocławski",2012,31.9
"3766",419000,"Powiat żniński",2012,64
"3767",461000,"Powiat m.Bydgoszcz",2012,3926.6
"3768",462000,"Powiat m.Grudziądz",2012,6301.9
"3769",463000,"Powiat m.Toruń",2012,5789.8
"3770",464000,"Powiat m.Włocławek",2012,4447.3
"3771",601000,"Powiat bialski",2012,122.7
"3772",602000,"Powiat biłgorajski",2012,53.5
"3773",603000,"Powiat chełmski",2012,16.4
"3774",604000,"Powiat hrubieszowski",2012,16.6
"3775",605000,"Powiat janowski",2012,17.1
"3776",606000,"Powiat krasnostawski",2012,9.7
"3777",607000,"Powiat kraśnicki",2012,75.6
"3778",608000,"Powiat lubartowski",2012,35.7
"3779",609000,"Powiat lubelski",2012,9.5
"3780",610000,"Powiat łęczyński",2012,110
"3781",611000,"Powiat łukowski",2012,86.1
"3782",612000,"Powiat opolski",2012,4.9
"3783",613000,"Powiat parczewski",2012,0
"3784",614000,"Powiat puławski",2012,335.1
"3785",615000,"Powiat radzyński",2012,63.2
"3786",616000,"Powiat rycki",2012,208.3
"3787",617000,"Powiat świdnicki",2012,93.9
"3788",618000,"Powiat tomaszowski",2012,206.9
"3789",619000,"Powiat włodawski",2012,59.7
"3790",620000,"Powiat zamojski",2012,10.2
"3791",661000,"Powiat m.Biała Podlaska",2012,1295.5
"3792",662000,"Powiat m.Chełm",2012,1729
"3793",663000,"Powiat m.Lublin",2012,4421.2
"3794",664000,"Powiat m.Zamość",2012,9558.3
"3795",801000,"Powiat gorzowski",2012,591.3
"3796",802000,"Powiat krośnieński",2012,215.6
"3797",803000,"Powiat międzyrzecki",2012,99.5
"3798",804000,"Powiat nowosolski",2012,554
"3799",805000,"Powiat słubicki",2012,203.1
"3800",806000,"Powiat strzelecko-drezdenecki",2012,124.2
"3801",807000,"Powiat sulęciński",2012,199.5
"3802",808000,"Powiat świebodziński",2012,108.9
"3803",809000,"Powiat zielonogórski",2012,175.2
"3804",810000,"Powiat żagański",2012,78.6
"3805",811000,"Powiat żarski",2012,315.2
"3806",812000,"Powiat wschowski",2012,33.6
"3807",861000,"Powiat m.Gorzów Wielkopolski",2012,2274.8
"3808",862000,"Powiat m.Zielona Góra",2012,6787.8
"3809",1001000,"Powiat bełchatowski",2012,977.7
"3810",1002000,"Powiat kutnowski",2012,196.2
"3811",1003000,"Powiat łaski",2012,150.4
"3812",1004000,"Powiat łęczycki",2012,0
"3813",1005000,"Powiat łowicki",2012,26.3
"3814",1006000,"Powiat łódzki wschodni",2012,288.1
"3815",1007000,"Powiat opoczyński",2012,84.6
"3816",1008000,"Powiat pabianicki",2012,211.3
"3817",1009000,"Powiat pajęczański",2012,130.6
"3818",1010000,"Powiat piotrkowski",2012,7
"3819",1011000,"Powiat poddębicki",2012,118
"3820",1012000,"Powiat radomszczański",2012,26.3
"3821",1013000,"Powiat rawski",2012,0
"3822",1014000,"Powiat sieradzki",2012,38.2
"3823",1015000,"Powiat skierniewicki",2012,67.7
"3824",1016000,"Powiat tomaszowski",2012,102.5
"3825",1017000,"Powiat wieluński",2012,90.7
"3826",1018000,"Powiat wieruszowski",2012,194.1
"3827",1019000,"Powiat zduńskowolski",2012,864
"3828",1020000,"Powiat zgierski",2012,70.2
"3829",1021000,"Powiat brzeziński",2012,0
