"","Kod","Nazwa","rok","Mediana_cen_za_1_m2_lokali_mieszkalnych_sprzedanych_w_ramach_transakcji_rynkowych_rynek_wtorny_od_60_do_80_m2_zl"
"24827",1212000,"Powiat olkuski",2015,2441
"24828",1213000,"Powiat oświęcimski",2015,2687
"24829",1214000,"Powiat proszowicki",2015,0
"24830",1215000,"Powiat suski",2015,2617
"24831",1216000,"Powiat tarnowski",2015,0
"24832",1217000,"Powiat tatrzański",2015,0
"24833",1218000,"Powiat wadowicki",2015,3562
"24834",1219000,"Powiat wielicki",2015,4599
"24835",1261000,"Powiat m.Kraków",2015,5715
"24836",1262000,"Powiat m.Nowy Sącz",2015,2770
"24837",1263000,"Powiat m.Tarnów",2015,3341
"24838",1401000,"Powiat białobrzeski",2015,0
"24839",1402000,"Powiat ciechanowski",2015,2899
"24840",1403000,"Powiat garwoliński",2015,0
"24841",1404000,"Powiat gostyniński",2015,1940
"24842",1405000,"Powiat grodziski",2015,3672
"24843",1406000,"Powiat grójecki",2015,2571
"24844",1407000,"Powiat kozienicki",2015,2869
"24845",1408000,"Powiat legionowski",2015,4095
"24846",1409000,"Powiat lipski",2015,0
"24847",1410000,"Powiat łosicki",2015,3098
"24848",1411000,"Powiat makowski",2015,0
"24849",1412000,"Powiat miński",2015,4333
"24850",1413000,"Powiat mławski",2015,2365
"24851",1414000,"Powiat nowodworski",2015,3386
"24852",1415000,"Powiat ostrołęcki",2015,0
"24853",1416000,"Powiat ostrowski",2015,2113
"24854",1417000,"Powiat otwocki",2015,4747
"24855",1418000,"Powiat piaseczyński",2015,5197
"24856",1419000,"Powiat płocki",2015,2599
"24857",1420000,"Powiat płoński",2015,2636
"24858",1421000,"Powiat pruszkowski",2015,4564
"24859",1422000,"Powiat przasnyski",2015,2480
"24860",1423000,"Powiat przysuski",2015,1538
"24861",1424000,"Powiat pułtuski",2015,3101
"24862",1425000,"Powiat radomski",2015,1672
"24863",1426000,"Powiat siedlecki",2015,0
"24864",1427000,"Powiat sierpecki",2015,2475
"24865",1428000,"Powiat sochaczewski",2015,3115
"24866",1429000,"Powiat sokołowski",2015,3228
"24867",1430000,"Powiat szydłowiecki",2015,1236
"24868",1432000,"Powiat warszawski zachodni",2015,4785
"24869",1433000,"Powiat węgrowski",2015,2676
"24870",1434000,"Powiat wołomiński",2015,4378
"24871",1435000,"Powiat wyszkowski",2015,3506
"24872",1436000,"Powiat zwoleński",2015,0
"24873",1437000,"Powiat żuromiński",2015,1828
"24874",1438000,"Powiat żyrardowski",2015,2698
"24875",1461000,"Powiat m.Ostrołęka",2015,2777
"24876",1462000,"Powiat m.Płock",2015,3200
"24877",1463000,"Powiat m.Radom",2015,2689
"24878",1464000,"Powiat m.Siedlce",2015,4041
"24879",1465000,"Powiat m. st. Warszawa",2015,7102
"24880",1601000,"Powiat brzeski",2015,2540
"24881",1602000,"Powiat głubczycki",2015,1576
"24882",1603000,"Powiat kędzierzyńsko-kozielski",2015,2212
"24883",1604000,"Powiat kluczborski",2015,1865
"24884",1605000,"Powiat krapkowicki",2015,2493
"24885",1606000,"Powiat namysłowski",2015,2516
"24886",1607000,"Powiat nyski",2015,1955
"24887",1608000,"Powiat oleski",2015,2412
"24888",1609000,"Powiat opolski",2015,2370
"24889",1610000,"Powiat prudnicki",2015,1627
