"","Kod","Nazwa","rok","ludnosc_grupy_ekonomiczne_w_wieku_produkcyjnym_proc"
"6982",1208000,"Powiat miechowski",2002,58.3
"6983",1209000,"Powiat myślenicki",2002,58.9
"6984",1210000,"Powiat nowosądecki",2002,56.7
"6985",1211000,"Powiat nowotarski",2002,58.6
"6986",1212000,"Powiat olkuski",2002,62.5
"6987",1213000,"Powiat oświęcimski",2002,61.9
"6988",1214000,"Powiat proszowicki",2002,59.4
"6989",1215000,"Powiat suski",2002,58.1
"6990",1216000,"Powiat tarnowski",2002,57.4
"6991",1217000,"Powiat tatrzański",2002,59
"6992",1218000,"Powiat wadowicki",2002,60.2
"6993",1219000,"Powiat wielicki",2002,60.7
"6994",1261000,"Powiat m.Kraków",2002,65.9
"6995",1262000,"Powiat m.Nowy Sącz",2002,62.7
"6996",1263000,"Powiat m.Tarnów",2002,63.5
"6997",1401000,"Powiat białobrzeski",2002,57.3
"6998",1402000,"Powiat ciechanowski",2002,60.7
"6999",1403000,"Powiat garwoliński",2002,57.3
"7000",1404000,"Powiat gostyniński",2002,60.6
"7001",1405000,"Powiat grodziski",2002,61.9
"7002",1406000,"Powiat grójecki",2002,60.9
"7003",1407000,"Powiat kozienicki",2002,59.1
"7004",1408000,"Powiat legionowski",2002,65.7
"7005",1409000,"Powiat lipski",2002,56.3
"7006",1410000,"Powiat łosicki",2002,54.9
"7007",1411000,"Powiat makowski",2002,56.9
"7008",1412000,"Powiat miński",2002,60.6
"7009",1413000,"Powiat mławski",2002,58
"7010",1414000,"Powiat nowodworski",2002,62.2
"7011",1415000,"Powiat ostrołęcki",2002,55.3
"7012",1416000,"Powiat ostrowski",2002,57.4
"7013",1417000,"Powiat otwocki",2002,61.4
"7014",1418000,"Powiat piaseczyński",2002,64
"7015",1419000,"Powiat płocki",2002,58.5
"7016",1420000,"Powiat płoński",2002,59.6
"7017",1421000,"Powiat pruszkowski",2002,64.3
"7018",1422000,"Powiat przasnyski",2002,57.3
"7019",1423000,"Powiat przysuski",2002,55.3
"7020",1424000,"Powiat pułtuski",2002,59
"7021",1425000,"Powiat radomski",2002,58.7
"7022",1426000,"Powiat siedlecki",2002,55.5
"7023",1427000,"Powiat sierpecki",2002,57.8
"7024",1428000,"Powiat sochaczewski",2002,61.1
"7025",1429000,"Powiat sokołowski",2002,56.3
"7026",1430000,"Powiat szydłowiecki",2002,58.4
"7027",1432000,"Powiat warszawski zachodni",2002,63.3
"7028",1433000,"Powiat węgrowski",2002,57.3
"7029",1434000,"Powiat wołomiński",2002,62.3
"7030",1435000,"Powiat wyszkowski",2002,59.4
"7031",1436000,"Powiat zwoleński",2002,56.9
"7032",1437000,"Powiat żuromiński",2002,56.5
"7033",1438000,"Powiat żyrardowski",2002,62.2
"7034",1461000,"Powiat m.Ostrołęka",2002,65.1
"7035",1462000,"Powiat m.Płock",2002,66.6
"7036",1463000,"Powiat m.Radom",2002,63.5
"7037",1464000,"Powiat m.Siedlce",2002,65.7
"7038",1465000,"Powiat m. st. Warszawa",2002,64.9
"7039",1601000,"Powiat brzeski",2002,61.9
"7040",1602000,"Powiat głubczycki",2002,60.6
"7041",1603000,"Powiat kędzierzyńsko-kozielski",2002,63
"7042",1604000,"Powiat kluczborski",2002,61.6
"7043",1605000,"Powiat krapkowicki",2002,63.7
"7044",1606000,"Powiat namysłowski",2002,61.9
"7045",1607000,"Powiat nyski",2002,62.4
"7046",1608000,"Powiat oleski",2002,61.3
"7047",1609000,"Powiat opolski",2002,63.2
"7048",1610000,"Powiat prudnicki",2002,60.2
"7049",1611000,"Powiat strzelecki",2002,62.1
"7050",1661000,"Powiat m.Opole",2002,67.3
"7051",1801000,"Powiat bieszczadzki",2002,60.9
"7052",1802000,"Powiat brzozowski",2002,57.2
"7053",1803000,"Powiat dębicki",2002,59.6
"7054",1804000,"Powiat jarosławski",2002,59.2
"7055",1805000,"Powiat jasielski",2002,59
"7056",1806000,"Powiat kolbuszowski",2002,58.3
"7057",1807000,"Powiat krośnieński",2002,58.3
"7058",1808000,"Powiat leżajski",2002,58.7
"7059",1809000,"Powiat lubaczowski",2002,58
"7060",1810000,"Powiat łańcucki",2002,58
"7061",1811000,"Powiat mielecki",2002,59.6
"7062",1812000,"Powiat niżański",2002,58
"7063",1813000,"Powiat przemyski",2002,57.1
"7064",1814000,"Powiat przeworski",2002,57.3
"7065",1815000,"Powiat ropczycko-sędziszowski",2002,58.7
"7066",1816000,"Powiat rzeszowski",2002,58
"7067",1817000,"Powiat sanocki",2002,60.9
"7068",1818000,"Powiat stalowowolski",2002,62.4
"7069",1819000,"Powiat strzyżowski",2002,57.7
"7070",1820000,"Powiat tarnobrzeski",2002,60.4
"7071",1821000,"Powiat leski",2002,60.5
"7072",1861000,"Powiat m.Krosno",2002,64.2
"7073",1862000,"Powiat m.Przemyśl",2002,62.4
"7074",1863000,"Powiat m.Rzeszów",2002,65.9
"7075",1864000,"Powiat m.Tarnobrzeg",2002,65.4
"7076",2001000,"Powiat augustowski",2002,57.7
"7077",2002000,"Powiat białostocki",2002,58.6
"7078",2003000,"Powiat bielski",2002,55.3
"7079",2004000,"Powiat grajewski",2002,59.1
"7080",2005000,"Powiat hajnowski",2002,56.8
"7081",2006000,"Powiat kolneński",2002,56.6
"7082",2007000,"Powiat łomżyński",2002,54.9
"7083",2008000,"Powiat moniecki",2002,55.7
"7084",2009000,"Powiat sejneński",2002,57.2
"7085",2010000,"Powiat siemiatycki",2002,55.3
"7086",2011000,"Powiat sokólski",2002,57
"7087",2012000,"Powiat suwalski",2002,54.2
"7088",2013000,"Powiat wysokomazowiecki",2002,55.3
"7089",2014000,"Powiat zambrowski",2002,58.5
"7090",2061000,"Powiat m.Białystok",2002,65.3
"7091",2062000,"Powiat m.Łomża",2002,63.8
"7092",2063000,"Powiat m.Suwałki",2002,62.2
"7093",2201000,"Powiat bytowski",2002,60.4
"7094",2202000,"Powiat chojnicki",2002,60.3
"7095",2203000,"Powiat człuchowski",2002,61.5
"7096",2204000,"Powiat gdański",2002,62.8
"7097",2205000,"Powiat kartuski",2002,58.2
"7098",2206000,"Powiat kościerski",2002,59.8
"7099",2207000,"Powiat kwidzyński",2002,62.3
"7100",2208000,"Powiat lęborski",2002,61.5
"7101",2209000,"Powiat malborski",2002,62.3
"7102",2210000,"Powiat nowodworski",2002,61.2
"7103",2211000,"Powiat pucki",2002,61.5
"7104",2212000,"Powiat słupski",2002,62
"7105",2213000,"Powiat starogardzki",2002,60.5
"7106",2214000,"Powiat tczewski",2002,62.3
"7107",2215000,"Powiat wejherowski",2002,61.5
"7108",2216000,"Powiat sztumski",2002,61.2
"7109",2261000,"Powiat m.Gdańsk",2002,65.5
"7110",2262000,"Powiat m.Gdynia",2002,65
"7111",2263000,"Powiat m.Słupsk",2002,65.5
"7112",2264000,"Powiat m.Sopot",2002,62.9
"7113",2401000,"Powiat będziński",2002,64.9
"7114",2402000,"Powiat bielski",2002,61.5
"7115",2403000,"Powiat cieszyński",2002,62.2
"7116",2404000,"Powiat częstochowski",2002,60.3
"7117",2405000,"Powiat gliwicki",2002,63.8
"7118",2406000,"Powiat kłobucki",2002,60.4
"7119",2407000,"Powiat lubliniecki",2002,61.8
"7120",2408000,"Powiat mikołowski",2002,63.4
"7121",2409000,"Powiat myszkowski",2002,61.9
"7122",2410000,"Powiat pszczyński",2002,61.9
"7123",2411000,"Powiat raciborski",2002,62.8
"7124",2412000,"Powiat rybnicki",2002,61.8
"7125",2413000,"Powiat tarnogórski",2002,63.7
"7126",2414000,"Powiat bieruńsko-lędziński",2002,62.6
"7127",2415000,"Powiat wodzisławski",2002,62.5
"7128",2416000,"Powiat zawierciański",2002,62.6
"7129",2417000,"Powiat żywiecki",2002,59.5
"7130",2461000,"Powiat m.Bielsko-Biała",2002,64.7
"7131",2462000,"Powiat m.Bytom",2002,64.6
"7132",2463000,"Powiat m.Chorzów",2002,63.4
"7133",2464000,"Powiat m.Częstochowa",2002,64.7
"7134",2465000,"Powiat m.Dąbrowa Górnicza",2002,68
"7135",2466000,"Powiat m.Gliwice",2002,65.7
"7136",2467000,"Powiat m.Jastrzębie-Zdrój",2002,67
"7137",2468000,"Powiat m.Jaworzno",2002,63.8
"7138",2469000,"Powiat m.Katowice",2002,64.6
