"","Kod","Nazwa","rok","Osoby_w_zamachach_samobojczych_liczba_prob_zachowan_samobojczych_na_100_tys_ludnosci_ogolem_osoba"
"1652",1217000,"Powiat tatrzański",2018,26
"1653",1218000,"Powiat wadowicki",2018,42
"1654",1219000,"Powiat wielicki",2018,33
"1655",1261000,"Powiat m.Kraków",2018,34
"1656",1262000,"Powiat m.Nowy Sącz",2018,89
"1657",1263000,"Powiat m.Tarnów",2018,130
"1658",1401000,"Powiat białobrzeski",2018,45
"1659",1402000,"Powiat ciechanowski",2018,31
"1660",1403000,"Powiat garwoliński",2018,25
"1661",1404000,"Powiat gostyniński",2018,29
"1662",1405000,"Powiat grodziski",2018,15
"1663",1406000,"Powiat grójecki",2018,25
"1664",1407000,"Powiat kozienicki",2018,13
"1665",1408000,"Powiat legionowski",2018,22
"1666",1409000,"Powiat lipski",2018,35
"1667",1410000,"Powiat łosicki",2018,35
"1668",1411000,"Powiat makowski",2018,33
"1669",1412000,"Powiat miński",2018,31
"1670",1413000,"Powiat mławski",2018,14
"1671",1414000,"Powiat nowodworski",2018,28
"1672",1415000,"Powiat ostrołęcki",2018,36
"1673",1416000,"Powiat ostrowski",2018,22
"1674",1417000,"Powiat otwocki",2018,15
"1675",1418000,"Powiat piaseczyński",2018,16
"1676",1419000,"Powiat płocki",2018,115
"1677",1420000,"Powiat płoński",2018,27
"1678",1421000,"Powiat pruszkowski",2018,10
"1679",1422000,"Powiat przasnyski",2018,28
"1680",1423000,"Powiat przysuski",2018,29
"1681",1424000,"Powiat pułtuski",2018,27
"1682",1425000,"Powiat radomski",2018,33
"1683",1426000,"Powiat siedlecki",2018,44
"1684",1427000,"Powiat sierpecki",2018,56
"1685",1428000,"Powiat sochaczewski",2018,11
"1686",1429000,"Powiat sokołowski",2018,33
"1687",1430000,"Powiat szydłowiecki",2018,20
"1688",1432000,"Powiat warszawski zachodni",2018,10
"1689",1433000,"Powiat węgrowski",2018,32
"1690",1434000,"Powiat wołomiński",2018,13
"1691",1435000,"Powiat wyszkowski",2018,32
"1692",1436000,"Powiat zwoleński",2018,25
"1693",1437000,"Powiat żuromiński",2018,26
"1694",1438000,"Powiat żyrardowski",2018,9
"1695",1461000,"Powiat m.Ostrołęka",2018,61
"1696",1462000,"Powiat m.Płock",2018,107
"1697",1463000,"Powiat m.Radom",2018,23
"1698",1464000,"Powiat m.Siedlce",2018,46
"1699",1465000,"Powiat m. st. Warszawa",2018,16
"1700",1601000,"Powiat brzeski",2018,19
"1701",1602000,"Powiat głubczycki",2018,11
"1702",1603000,"Powiat kędzierzyńsko-kozielski",2018,22
"1703",1604000,"Powiat kluczborski",2018,39
"1704",1605000,"Powiat krapkowicki",2018,11
"1705",1606000,"Powiat namysłowski",2018,52
"1706",1607000,"Powiat nyski",2018,26
"1707",1608000,"Powiat oleski",2018,37
"1708",1609000,"Powiat opolski",2018,30
"1709",1610000,"Powiat prudnicki",2018,14
"1710",1611000,"Powiat strzelecki",2018,11
"1711",1661000,"Powiat m.Opole",2018,29
"1712",1801000,"Powiat bieszczadzki",2018,18
"1713",1802000,"Powiat brzozowski",2018,21
"1714",1803000,"Powiat dębicki",2018,30
"1715",1804000,"Powiat jarosławski",2018,23
"1716",1805000,"Powiat jasielski",2018,28
"1717",1806000,"Powiat kolbuszowski",2018,24
"1718",1807000,"Powiat krośnieński",2018,44
"1719",1808000,"Powiat leżajski",2018,40
"1720",1809000,"Powiat lubaczowski",2018,13
"1721",1810000,"Powiat łańcucki",2018,48
"1722",1811000,"Powiat mielecki",2018,12
"1723",1812000,"Powiat niżański",2018,33
"1724",1813000,"Powiat przemyski",2018,62
"1725",1814000,"Powiat przeworski",2018,20
"1726",1815000,"Powiat ropczycko-sędziszowski",2018,19
"1727",1816000,"Powiat rzeszowski",2018,67
"1728",1817000,"Powiat sanocki",2018,23
"1729",1818000,"Powiat stalowowolski",2018,38
"1730",1819000,"Powiat strzyżowski",2018,16
"1731",1820000,"Powiat tarnobrzeski",2018,36
"1732",1821000,"Powiat leski",2018,56
"1733",1861000,"Powiat m.Krosno",2018,105
"1734",1862000,"Powiat m.Przemyśl",2018,75
"1735",1863000,"Powiat m.Rzeszów",2018,60
"1736",1864000,"Powiat m.Tarnobrzeg",2018,40
"1737",2001000,"Powiat augustowski",2018,19
"1738",2002000,"Powiat białostocki",2018,93
"1739",2003000,"Powiat bielski",2018,38
"1740",2004000,"Powiat grajewski",2018,36
"1741",2005000,"Powiat hajnowski",2018,12
"1742",2006000,"Powiat kolneński",2018,18
"1743",2007000,"Powiat łomżyński",2018,35
"1744",2008000,"Powiat moniecki",2018,32
"1745",2009000,"Powiat sejneński",2018,65
"1746",2010000,"Powiat siemiatycki",2018,25
"1747",2011000,"Powiat sokólski",2018,28
"1748",2012000,"Powiat suwalski",2018,126
"1749",2013000,"Powiat wysokomazowiecki",2018,24
"1750",2014000,"Powiat zambrowski",2018,32
"1751",2061000,"Powiat m.Białystok",2018,46
"1752",2062000,"Powiat m.Łomża",2018,29
"1753",2063000,"Powiat m.Suwałki",2018,64
"1754",2201000,"Powiat bytowski",2018,20
"1755",2202000,"Powiat chojnicki",2018,17
"1756",2203000,"Powiat człuchowski",2018,12
"1757",2204000,"Powiat gdański",2018,46
"1758",2205000,"Powiat kartuski",2018,29
"1759",2206000,"Powiat kościerski",2018,4
"1760",2207000,"Powiat kwidzyński",2018,35
"1761",2208000,"Powiat lęborski",2018,59
"1762",2209000,"Powiat malborski",2018,6
"1763",2210000,"Powiat nowodworski",2018,11
"1764",2211000,"Powiat pucki",2018,19
"1765",2212000,"Powiat słupski",2018,48
"1766",2213000,"Powiat starogardzki",2018,12
"1767",2214000,"Powiat tczewski",2018,52
"1768",2215000,"Powiat wejherowski",2018,32
"1769",2216000,"Powiat sztumski",2018,34
"1770",2261000,"Powiat m.Gdańsk",2018,22
"1771",2262000,"Powiat m.Gdynia",2018,11
"1772",2263000,"Powiat m.Słupsk",2018,52
"1773",2264000,"Powiat m.Sopot",2018,14
"1774",2401000,"Powiat będziński",2018,5
"1775",2402000,"Powiat bielski",2018,81
"1776",2403000,"Powiat cieszyński",2018,48
"1777",2404000,"Powiat częstochowski",2018,226
"1778",2405000,"Powiat gliwicki",2018,112
"1779",2406000,"Powiat kłobucki",2018,25
"1780",2407000,"Powiat lubliniecki",2018,59
"1781",2408000,"Powiat mikołowski",2018,16
"1782",2409000,"Powiat myszkowski",2018,62
"1783",2410000,"Powiat pszczyński",2018,53
"1784",2411000,"Powiat raciborski",2018,29
"1785",2412000,"Powiat rybnicki",2018,56
"1786",2413000,"Powiat tarnogórski",2018,40
"1787",2414000,"Powiat bieruńsko-lędziński",2018,44
"1788",2415000,"Powiat wodzisławski",2018,12
"1789",2416000,"Powiat zawierciański",2018,25
"1790",2417000,"Powiat żywiecki",2018,13
"1791",2461000,"Powiat m.Bielsko-Biała",2018,78
"1792",2462000,"Powiat m.Bytom",2018,25
"1793",2463000,"Powiat m.Chorzów",2018,10
"1794",2464000,"Powiat m.Częstochowa",2018,137
"1795",2465000,"Powiat m.Dąbrowa Górnicza",2018,23
"1796",2466000,"Powiat m.Gliwice",2018,72
"1797",2467000,"Powiat m.Jastrzębie-Zdrój",2018,28
"1798",2468000,"Powiat m.Jaworzno",2018,28
"1799",2469000,"Powiat m.Katowice",2018,38
"1800",2470000,"Powiat m.Mysłowice",2018,16
"1801",2471000,"Powiat m.Piekary Śląskie",2018,65
"1802",2472000,"Powiat m.Ruda Śląska",2018,36
"1803",2473000,"Powiat m.Rybnik",2018,32
"1804",2474000,"Powiat m.Siemianowice Śląskie",2018,77
"1805",2475000,"Powiat m.Sosnowiec",2018,56
"1806",2476000,"Powiat m.Świętochłowice",2018,66
"1807",2477000,"Powiat m.Tychy",2018,9
"1808",2478000,"Powiat m.Zabrze",2018,14
"1809",2479000,"Powiat m.Żory",2018,64
"1810",2601000,"Powiat buski",2018,31
"1811",2602000,"Powiat jędrzejowski",2018,33
"1812",2603000,"Powiat kazimierski",2018,32
"1813",2604000,"Powiat kielecki",2018,92
"1814",2605000,"Powiat konecki",2018,30
"1815",2606000,"Powiat opatowski",2018,40
"1816",2607000,"Powiat ostrowiecki",2018,33
"1817",2608000,"Powiat pińczowski",2018,51
"1818",2609000,"Powiat sandomierski",2018,44
"1819",2610000,"Powiat skarżyski",2018,43
"1820",2611000,"Powiat starachowicki",2018,51
"1821",2612000,"Powiat staszowski",2018,44
"1822",2613000,"Powiat włoszczowski",2018,40
"1823",2661000,"Powiat m.Kielce",2018,99
"1824",2801000,"Powiat bartoszycki",2018,22
"1825",2802000,"Powiat braniewski",2018,56
"1826",2803000,"Powiat działdowski",2018,34
"1827",2804000,"Powiat elbląski",2018,261
"1828",2805000,"Powiat ełcki",2018,39
"1829",2806000,"Powiat giżycki",2018,33
"1830",2807000,"Powiat iławski",2018,56
"1831",2808000,"Powiat kętrzyński",2018,43
"1832",2809000,"Powiat lidzbarski",2018,43
"1833",2810000,"Powiat mrągowski",2018,30
"1834",2811000,"Powiat nidzicki",2018,27
"1835",2812000,"Powiat nowomiejski",2018,16
"1836",2813000,"Powiat olecki",2018,61
"1837",2814000,"Powiat olsztyński",2018,41
"1838",2815000,"Powiat ostródzki",2018,32
"1839",2816000,"Powiat piski",2018,25
"1840",2817000,"Powiat szczycieński",2018,19
"1841",2818000,"Powiat gołdapski",2018,48
"1842",2819000,"Powiat węgorzewski",2018,35
"1843",2861000,"Powiat m.Elbląg",2018,125
"1844",2862000,"Powiat m.Olsztyn",2018,30
"1845",3001000,"Powiat chodzieski",2018,40
"1846",3002000,"Powiat czarnkowsko-trzcianecki",2018,54
"1847",3003000,"Powiat gnieźnieński",2018,23
"1848",3004000,"Powiat gostyński",2018,13
"1849",3005000,"Powiat grodziski",2018,2
"1850",3006000,"Powiat jarociński",2018,8
"1851",3007000,"Powiat kaliski",2018,59
"1852",3008000,"Powiat kępiński",2018,12
"1853",3009000,"Powiat kolski",2018,6
"1854",3010000,"Powiat koniński",2018,75
"1855",3011000,"Powiat kościański",2018,14
"1856",3012000,"Powiat krotoszyński",2018,12
"1857",3013000,"Powiat leszczyński",2018,25
"1858",3014000,"Powiat międzychodzki",2018,19
"1859",3015000,"Powiat nowotomyski",2018,5
"1860",3016000,"Powiat obornicki",2018,33
"1861",3017000,"Powiat ostrowski",2018,22
"1862",3018000,"Powiat ostrzeszowski",2018,22
"1863",3019000,"Powiat pilski",2018,56
"1864",3020000,"Powiat pleszewski",2018,43
"1865",3021000,"Powiat poznański",2018,16
"1866",3022000,"Powiat rawicki",2018,12
"1867",3023000,"Powiat słupecki",2018,62
"1868",3024000,"Powiat szamotulski",2018,26
"1869",3025000,"Powiat średzki",2018,12
"1870",3026000,"Powiat śremski",2018,8
"1871",3027000,"Powiat turecki",2018,12
"1872",3028000,"Powiat wągrowiecki",2018,23
"1873",3029000,"Powiat wolsztyński",2018,7
"1874",3030000,"Powiat wrzesiński",2018,9
"1875",3031000,"Powiat złotowski",2018,56
"1876",3061000,"Powiat m.Kalisz",2018,49
"1877",3062000,"Powiat m.Konin",2018,131
"1878",3063000,"Powiat m.Leszno",2018,22
"1879",3064000,"Powiat m.Poznań",2018,11
"1880",3201000,"Powiat białogardzki",2018,8
"1881",3202000,"Powiat choszczeński",2018,27
"1882",3203000,"Powiat drawski",2018,17
"1883",3204000,"Powiat goleniowski",2018,31
"1884",3205000,"Powiat gryficki",2018,13
"1885",3206000,"Powiat gryfiński",2018,8
"1886",3207000,"Powiat kamieński",2018,23
"1887",3208000,"Powiat kołobrzeski",2018,36
"1888",3209000,"Powiat koszaliński",2018,78
"1889",3210000,"Powiat myśliborski",2018,17
"1890",3211000,"Powiat policki",2018,18
"1891",3212000,"Powiat pyrzycki",2018,50
"1892",3213000,"Powiat sławieński",2018,34
"1893",3214000,"Powiat stargardzki",2018,28
"1894",3215000,"Powiat szczecinecki",2018,41
"1895",3216000,"Powiat świdwiński",2018,19
"1896",3217000,"Powiat wałecki",2018,24
"1897",3218000,"Powiat łobeski",2018,54
"1898",3261000,"Powiat m.Koszalin",2018,48
"1899",3262000,"Powiat m.Szczecin",2018,18
"1900",3263000,"Powiat m.Świnoujście",2018,37
"1901",201000,"Powiat bolesławiecki",2019,NA
"1902",202000,"Powiat dzierżoniowski",2019,NA
"1903",203000,"Powiat głogowski",2019,NA
"1904",204000,"Powiat górowski",2019,NA
"1905",205000,"Powiat jaworski",2019,NA
"1906",206000,"Powiat jeleniogórski",2019,NA
"1907",207000,"Powiat kamiennogórski",2019,NA
"1908",208000,"Powiat kłodzki",2019,NA
"1909",209000,"Powiat legnicki",2019,NA
"1910",210000,"Powiat lubański",2019,NA
"1911",211000,"Powiat lubiński",2019,NA
"1912",212000,"Powiat lwówecki",2019,NA
"1913",213000,"Powiat milicki",2019,NA
"1914",214000,"Powiat oleśnicki",2019,NA
"1915",215000,"Powiat oławski",2019,NA
"1916",216000,"Powiat polkowicki",2019,NA
"1917",217000,"Powiat strzeliński",2019,NA
"1918",218000,"Powiat średzki",2019,NA
"1919",219000,"Powiat świdnicki",2019,NA
"1920",220000,"Powiat trzebnicki",2019,NA
"1921",221000,"Powiat wałbrzyski",2019,NA
"1922",222000,"Powiat wołowski",2019,NA
"1923",223000,"Powiat wrocławski",2019,NA
"1924",224000,"Powiat ząbkowicki",2019,NA
"1925",225000,"Powiat zgorzelecki",2019,NA
"1926",226000,"Powiat złotoryjski",2019,NA
"1927",261000,"Powiat m.Jelenia Góra",2019,NA
"1928",262000,"Powiat m.Legnica",2019,NA
"1929",264000,"Powiat m.Wrocław",2019,NA
"1930",265000,"Powiat m.Wałbrzych od 2013",2019,NA
"1931",401000,"Powiat aleksandrowski",2019,NA
"1932",402000,"Powiat brodnicki",2019,NA
"1933",403000,"Powiat bydgoski",2019,NA
"1934",404000,"Powiat chełmiński",2019,NA
"1935",405000,"Powiat golubsko-dobrzyński",2019,NA
"1936",406000,"Powiat grudziądzki",2019,NA
"1937",407000,"Powiat inowrocławski",2019,NA
"1938",408000,"Powiat lipnowski",2019,NA
"1939",409000,"Powiat mogileński",2019,NA
"1940",410000,"Powiat nakielski",2019,NA
"1941",411000,"Powiat radziejowski",2019,NA
"1942",412000,"Powiat rypiński",2019,NA
"1943",413000,"Powiat sępoleński",2019,NA
"1944",414000,"Powiat świecki",2019,NA
"1945",415000,"Powiat toruński",2019,NA
"1946",416000,"Powiat tucholski",2019,NA
"1947",417000,"Powiat wąbrzeski",2019,NA
"1948",418000,"Powiat włocławski",2019,NA
"1949",419000,"Powiat żniński",2019,NA
"1950",461000,"Powiat m.Bydgoszcz",2019,NA
"1951",462000,"Powiat m.Grudziądz",2019,NA
"1952",463000,"Powiat m.Toruń",2019,NA
"1953",464000,"Powiat m.Włocławek",2019,NA
"1954",601000,"Powiat bialski",2019,NA
"1955",602000,"Powiat biłgorajski",2019,NA
"1956",603000,"Powiat chełmski",2019,NA
"1957",604000,"Powiat hrubieszowski",2019,NA
"1958",605000,"Powiat janowski",2019,NA
"1959",606000,"Powiat krasnostawski",2019,NA
"1960",607000,"Powiat kraśnicki",2019,NA
"1961",608000,"Powiat lubartowski",2019,NA
"1962",609000,"Powiat lubelski",2019,NA
"1963",610000,"Powiat łęczyński",2019,NA
"1964",611000,"Powiat łukowski",2019,NA
"1965",612000,"Powiat opolski",2019,NA
"1966",613000,"Powiat parczewski",2019,NA
"1967",614000,"Powiat puławski",2019,NA
"1968",615000,"Powiat radzyński",2019,NA
"1969",616000,"Powiat rycki",2019,NA
"1970",617000,"Powiat świdnicki",2019,NA
"1971",618000,"Powiat tomaszowski",2019,NA
"1972",619000,"Powiat włodawski",2019,NA
"1973",620000,"Powiat zamojski",2019,NA
"1974",661000,"Powiat m.Biała Podlaska",2019,NA
"1975",662000,"Powiat m.Chełm",2019,NA
"1976",663000,"Powiat m.Lublin",2019,NA
"1977",664000,"Powiat m.Zamość",2019,NA
"1978",801000,"Powiat gorzowski",2019,NA
"1979",802000,"Powiat krośnieński",2019,NA
"1980",803000,"Powiat międzyrzecki",2019,NA
"1981",804000,"Powiat nowosolski",2019,NA
"1982",805000,"Powiat słubicki",2019,NA
"1983",806000,"Powiat strzelecko-drezdenecki",2019,NA
"1984",807000,"Powiat sulęciński",2019,NA
"1985",808000,"Powiat świebodziński",2019,NA
"1986",809000,"Powiat zielonogórski",2019,NA
"1987",810000,"Powiat żagański",2019,NA
"1988",811000,"Powiat żarski",2019,NA
"1989",812000,"Powiat wschowski",2019,NA
"1990",861000,"Powiat m.Gorzów Wielkopolski",2019,NA
"1991",862000,"Powiat m.Zielona Góra",2019,NA
"1992",1001000,"Powiat bełchatowski",2019,NA
"1993",1002000,"Powiat kutnowski",2019,NA
"1994",1003000,"Powiat łaski",2019,NA
"1995",1004000,"Powiat łęczycki",2019,NA
"1996",1005000,"Powiat łowicki",2019,NA
"1997",1006000,"Powiat łódzki wschodni",2019,NA
"1998",1007000,"Powiat opoczyński",2019,NA
"1999",1008000,"Powiat pabianicki",2019,NA
"2000",1009000,"Powiat pajęczański",2019,NA
"2001",1010000,"Powiat piotrkowski",2019,NA
"2002",1011000,"Powiat poddębicki",2019,NA
"2003",1012000,"Powiat radomszczański",2019,NA
"2004",1013000,"Powiat rawski",2019,NA
"2005",1014000,"Powiat sieradzki",2019,NA
"2006",1015000,"Powiat skierniewicki",2019,NA
"2007",1016000,"Powiat tomaszowski",2019,NA
"2008",1017000,"Powiat wieluński",2019,NA
"2009",1018000,"Powiat wieruszowski",2019,NA
"2010",1019000,"Powiat zduńskowolski",2019,NA
"2011",1020000,"Powiat zgierski",2019,NA
"2012",1021000,"Powiat brzeziński",2019,NA
"2013",1061000,"Powiat m.Łódź",2019,NA
"2014",1062000,"Powiat m.Piotrków Trybunalski",2019,NA
"2015",1063000,"Powiat m.Skierniewice",2019,NA
"2016",1201000,"Powiat bocheński",2019,NA
"2017",1202000,"Powiat brzeski",2019,NA
"2018",1203000,"Powiat chrzanowski",2019,NA
"2019",1204000,"Powiat dąbrowski",2019,NA
"2020",1205000,"Powiat gorlicki",2019,NA
"2021",1206000,"Powiat krakowski",2019,NA
"2022",1207000,"Powiat limanowski",2019,NA
"2023",1208000,"Powiat miechowski",2019,NA
"2024",1209000,"Powiat myślenicki",2019,NA
"2025",1210000,"Powiat nowosądecki",2019,NA
"2026",1211000,"Powiat nowotarski",2019,NA
"2027",1212000,"Powiat olkuski",2019,NA
"2028",1213000,"Powiat oświęcimski",2019,NA
"2029",1214000,"Powiat proszowicki",2019,NA
"2030",1215000,"Powiat suski",2019,NA
"2031",1216000,"Powiat tarnowski",2019,NA
"2032",1217000,"Powiat tatrzański",2019,NA
"2033",1218000,"Powiat wadowicki",2019,NA
"2034",1219000,"Powiat wielicki",2019,NA
"2035",1261000,"Powiat m.Kraków",2019,NA
"2036",1262000,"Powiat m.Nowy Sącz",2019,NA
"2037",1263000,"Powiat m.Tarnów",2019,NA
"2038",1401000,"Powiat białobrzeski",2019,NA
"2039",1402000,"Powiat ciechanowski",2019,NA
"2040",1403000,"Powiat garwoliński",2019,NA
"2041",1404000,"Powiat gostyniński",2019,NA
"2042",1405000,"Powiat grodziski",2019,NA
"2043",1406000,"Powiat grójecki",2019,NA
"2044",1407000,"Powiat kozienicki",2019,NA
"2045",1408000,"Powiat legionowski",2019,NA
"2046",1409000,"Powiat lipski",2019,NA
"2047",1410000,"Powiat łosicki",2019,NA
"2048",1411000,"Powiat makowski",2019,NA
"2049",1412000,"Powiat miński",2019,NA
"2050",1413000,"Powiat mławski",2019,NA
"2051",1414000,"Powiat nowodworski",2019,NA
"2052",1415000,"Powiat ostrołęcki",2019,NA
"2053",1416000,"Powiat ostrowski",2019,NA
"2054",1417000,"Powiat otwocki",2019,NA
"2055",1418000,"Powiat piaseczyński",2019,NA
"2056",1419000,"Powiat płocki",2019,NA
"2057",1420000,"Powiat płoński",2019,NA
"2058",1421000,"Powiat pruszkowski",2019,NA
"2059",1422000,"Powiat przasnyski",2019,NA
"2060",1423000,"Powiat przysuski",2019,NA
"2061",1424000,"Powiat pułtuski",2019,NA
"2062",1425000,"Powiat radomski",2019,NA
"2063",1426000,"Powiat siedlecki",2019,NA
"2064",1427000,"Powiat sierpecki",2019,NA
"2065",1428000,"Powiat sochaczewski",2019,NA
"2066",1429000,"Powiat sokołowski",2019,NA
"2067",1430000,"Powiat szydłowiecki",2019,NA
"2068",1432000,"Powiat warszawski zachodni",2019,NA
"2069",1433000,"Powiat węgrowski",2019,NA
"2070",1434000,"Powiat wołomiński",2019,NA
"2071",1435000,"Powiat wyszkowski",2019,NA
"2072",1436000,"Powiat zwoleński",2019,NA
"2073",1437000,"Powiat żuromiński",2019,NA
"2074",1438000,"Powiat żyrardowski",2019,NA
"2075",1461000,"Powiat m.Ostrołęka",2019,NA
"2076",1462000,"Powiat m.Płock",2019,NA
"2077",1463000,"Powiat m.Radom",2019,NA
"2078",1464000,"Powiat m.Siedlce",2019,NA
"2079",1465000,"Powiat m. st. Warszawa",2019,NA
"2080",1601000,"Powiat brzeski",2019,NA
"2081",1602000,"Powiat głubczycki",2019,NA
"2082",1603000,"Powiat kędzierzyńsko-kozielski",2019,NA
"2083",1604000,"Powiat kluczborski",2019,NA
"2084",1605000,"Powiat krapkowicki",2019,NA
"2085",1606000,"Powiat namysłowski",2019,NA
"2086",1607000,"Powiat nyski",2019,NA
"2087",1608000,"Powiat oleski",2019,NA
